"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","WRF_GUST","WRF_WSPD","WRF_WDIR","WRF_PSFC"
20181010.000000,0,7.59178,5.59746,61,1008,0,4.84114,69.1426,1008
20181010.000000,6,6.89274,5.19654,52,1008,5.1876,5.18585,70.9284,1006.69
20181010.000000,12,7.196,5.59746,56,1007.9,5.38888,5.38888,69.4589,1006.05
20181010.000000,18,7.0932,5.89558,54,1007.8,5.69605,5.67909,71.0961,1007.65
20181010.000000,24,7.49412,5.2942,55,1007.9,5.81448,5.77673,68.9443,1006.3
20181010.000000,30,7.0932,5.89558,55,1007.8,5.78368,5.696,65.8468,1007.91
20181010.000000,36,8.29082,6.79508,59,1007.8,5.71486,5.69883,61.6922,1007.72
20181010.000000,42,7.89504,6.49182,62,1007.8,5.75096,5.6957,65.2695,1007.03
20181010.000000,48,8.29082,6.59462,62,1007.7,5.69899,5.55091,69.0689,1006.78
20181010.000000,54,7.59178,6.49182,63,1007.7,6.03228,6.03228,71.7525,1005.8
20181010.000000,100,8.19316,6.89274,68,1007.8,6.16059,6.12866,70.2208,1006.64
20181010.000000,106,7.79224,6.59462,70,1007.8,6.15255,5.97045,63.6309,1007.11
20181010.000000,112,9.49358,7.79224,73,1007.8,6.33031,6.31368,60.0752,1007.45
20181010.000000,118,10.4907,8.59408,83,1007.8,6.3888,6.27546,59.4662,1007.69
20181010.000000,124,11.6884,8.69174,84,1007.7,6.28217,6.14461,54.6731,1006.68
20181010.000000,130,11.9916,8.0955,83,1007.7,6.14646,6.07682,54.9894,1007.05
20181010.000000,136,12.4902,8.98986,87,1007.7,6.29819,6.29692,56.5319,1007.09
20181010.000000,142,12.1869,8.49128,86,1007.8,6.5214,6.51951,50.0529,1007.25
20181010.000000,148,11.9916,6.99554,92,1007.9,6.77158,6.68981,46.7081,1008.6
20181010.000000,154,10.1926,7.49412,90,1007.8,6.88137,6.86092,50.7758,1007.38
20181010.000000,200,12.8911,8.79454,87,1007.9,7.09849,7.09849,49.0493,1006.68
20181010.000000,206,12.2897,9.39078,88,1007.9,7.17269,6.90206,52.148,1008.3
20181010.000000,212,12.3874,9.39078,90,1008,7.25976,7.23828,54.4887,1007.74
20181010.000000,218,11.7912,7.69458,98,1008,7.33335,7.13892,53.0294,1007.68
20181010.000000,224,9.29312,7.79224,103,1008.1,7.78319,7.60085,54.4708,1008.34
20181010.000000,230,10.0898,8.29082,109,1008.2,7.92624,6.90235,48.6169,1008.26
20181010.000000,236,10.2903,8.49128,107,1008.1,7.69284,7.08504,45.7408,1007.09
20181010.000000,242,11.8888,7.49412,106,1008.1,7.67994,7.09528,64.9507,1007.86
20181010.000000,248,10.8917,8.8922,106,1008.1,8.34758,8.34758,84.7572,1006.88
20181010.000000,254,10.6912,8.79454,105,1008.2,8.72227,8.72122,87.995,1007.59
20181010.000000,300,11.2926,8.8922,108,1008.2,8.87081,8.83478,88.8075,1007.49
20181010.000000,306,10.6912,8.59408,110,1008.2,8.87839,8.64742,89.0662,1007.34
20181010.000000,312,10.5884,9.49358,112,1008.1,8.71218,8.68607,91.2188,1006.55
20181010.000000,318,12.0893,9.7917,109,1008.1,8.70816,8.47921,90.3753,1007.63
20181010.000000,324,11.2926,9.19032,110,1008.1,8.56269,8.47816,92.3807,1006.73
20181010.000000,330,10.8917,8.8922,109,1008.1,8.52945,8.3706,93.0389,1006.9
20181010.000000,336,10.7889,8.39362,110,1008,8.45569,8.38342,96.1126,1007.81
20181010.000000,342,11.1898,8.39362,106,1008,8.75375,8.73112,98.4457,1006.34
20181010.000000,348,9.59124,7.9927,105,1007.9,8.97389,8.96709,99.7123,1006.66
20181010.000000,354,10.0898,7.89504,105,1007.8,9.22366,9.17461,99.7441,1006.13
20181010.000000,406,10.1926,8.0955,104,1007.7,9.28156,9.12747,100.289,1007.47
20181010.000000,412,10.6912,8.98986,109,1007.7,9.19446,8.88703,99.9403,1007.81
20181010.000000,418,9.59124,7.89504,105,1007.7,8.96947,8.7589,99.01,1006.7
20181010.000000,424,10.2903,7.89504,104,1007.7,8.98611,8.98181,99.2797,1006.51
20181010.000000,430,10.0898,7.69458,106,1007.7,9.1945,8.88774,99.9426,1007.81
20181010.000000,436,10.6912,9.29312,112,1007.7,8.96964,8.75882,99.0124,1006.7
20181010.000000,442,10.7889,7.89504,114,1007.6,8.98689,8.98126,99.284,1006.51
20181010.000000,448,11.5907,9.09266,109,1007.4,9.22324,9.17224,99.4367,1005.96
20181010.000000,454,12.2897,9.69404,111,1007.2,9.1818,8.92081,98.2642,1006.6
20181010.000000,500,11.7912,9.09266,110,1007,8.9308,8.8402,96.1854,1006.39
20181010.000000,506,11.2926,8.59408,110,1006.8,9.00976,8.95675,96.0459,1006.89
20181010.000000,512,11.7912,9.29312,110,1006.6,9.01927,9.01097,95.4411,1007.01
20181010.000000,518,11.2926,9.09266,111,1006.4,9.25267,9.25267,96.8794,1004.9
20181010.000000,524,12.6907,9.39078,110,1006.3,9.4043,9.34026,97.1972,1005.77
20181010.000000,530,11.8888,9.88936,120,1006.5,9.37018,9.18044,98.567,1006.08
