"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","WRF_GUST","WRF_WSPD","WRF_WDIR","WRF_PSFC"
20181010.000000,0,8.19316,6.2965,56,1008.1,0,5.16335,71.2214,1007.58
20181010.000000,6,8.39362,4.29704,62,1008.2,5.51774,5.49354,70.4058,1007.1
20181010.000000,12,9.29312,5.59746,60,1008.2,5.53445,5.41215,67.2996,1006.94
20181010.000000,18,8.69174,4.99608,57,1008.3,5.54312,5.50512,68.2504,1007.09
20181010.000000,24,10.6912,6.1937,60,1008.3,5.58051,5.54905,67.8475,1007.54
20181010.000000,30,7.196,4.4975,51,1008.2,5.79012,5.78906,65.7916,1006.6
20181010.000000,36,8.49128,5.89558,52,1008.1,6.03879,6.03602,66.4158,1006.78
20181010.000000,42,8.49128,3.99892,60,1008.1,6.25935,6.23869,68.8588,1004.93
20181010.000000,48,7.0932,5.397,58,1008,6.50595,6.4662,64.9055,1005.55
20181010.000000,54,8.0955,5.2942,57,1007.9,6.50421,5.83635,57.8311,1008.4
20181010.000000,100,8.69174,5.69512,60,1008,6.00867,5.90617,55.2947,1007.04
20181010.000000,106,7.59178,5.09374,55,1008,5.95448,5.77204,59.1425,1007.52
20181010.000000,112,8.59408,5.89558,61,1008,5.7948,5.57645,56.0731,1006.16
20181010.000000,118,7.196,4.69796,52,1007.9,6.10243,6.06663,56.1494,1007.28
20181010.000000,124,7.69458,5.59746,60,1007.9,6.2654,6.05479,62.0682,1008.44
20181010.000000,130,7.9927,6.1937,59,1007.9,6.10152,6.08292,65.3526,1008.46
20181010.000000,136,8.69174,4.59516,59,1007.9,6.23434,6.1897,65.6736,1006.7
20181010.000000,142,8.0955,4.89328,55,1007.9,6.71829,6.7072,65.3215,1008.03
20181010.000000,148,9.09266,4.59516,58,1008,6.7581,6.23352,62.126,1007.48
20181010.000000,154,7.9927,5.19654,60,1008,6.25241,6.20615,57.7791,1007.55
20181010.000000,200,10.6912,5.59746,54,1008,6.85779,6.85657,57.9021,1008.08
20181010.000000,206,8.59408,5.09374,59,1008,6.93452,6.9305,54.0169,1007.91
20181010.000000,212,9.39078,6.59462,65,1007.9,7.31781,7.30257,52.3364,1008.58
20181010.000000,218,9.99216,6.1937,65,1007.9,7.35127,7.23056,51.416,1008.46
20181010.000000,224,8.19316,4.99608,56,1007.9,7.28751,7.21907,47.5588,1006.58
20181010.000000,230,10.3931,6.2965,55,1007.8,7.40738,7.39134,46.8578,1007.84
20181010.000000,236,10.0898,6.59462,67,1007.9,7.71369,7.68648,47.1477,1008.58
20181010.000000,242,8.79454,5.49466,56,1008,7.71213,7.48943,50.8498,1007.42
20181010.000000,248,11.1898,7.29366,63,1008,7.50255,7.16925,52.8994,1007.69
20181010.000000,254,8.39362,5.79278,65,1008.1,7.24019,6.66973,53.4315,1007.18
20181010.000000,300,10.1926,5.09374,71,1008.1,6.68563,6.42081,51.561,1008.88
20181010.000000,306,9.09266,5.69512,70,1008.1,7.07237,7.05875,53.165,1006.26
20181010.000000,312,8.79454,6.09604,63,1008.1,7.35082,7.01745,52.4712,1008.59
20181010.000000,318,9.88936,6.79508,66,1008.1,7.688,6.94044,52.2578,1006.2
20181010.000000,324,10.1926,5.69512,70,1008.3,7.2837,5.07756,45.6662,1007.94
20181010.000000,330,9.7917,6.79508,64,1008.3,8.70752,8.40506,60.3239,1008.02
20181010.000000,336,9.59124,6.09604,64,1008.2,10.2835,10.0501,53.8097,1006.6
20181010.000000,342,8.8922,5.89558,63,1008.2,10.7349,9.9904,57.3853,1007.04
20181010.000000,348,10.1926,4.99608,70,1008.2,9.97819,8.95055,61.2529,1007.59
20181010.000000,354,8.29082,5.397,65,1008.1,11.0285,8.64939,50.2558,1007.34
20181010.000000,406,8.19316,4.59516,67,1007.8,10.934,10.9092,66.8014,1008.37
20181010.000000,412,9.49358,6.59462,64,1007.7,10.8988,9.23094,63.6881,1006.32
20181010.000000,418,7.9927,5.79278,68,1007.5,10.2358,8.95581,65.1415,1006.88
20181010.000000,424,9.59124,6.1937,65,1007.3,11.0119,9.3331,67.742,1006.6
20181010.000000,430,8.29082,5.09374,65,1007.3,10.4353,8.79796,63.2835,1006.77
20181010.000000,436,9.49358,5.397,67,1007.4,9.98788,9.21468,64.4223,1006.81
20181010.000000,442,7.29366,4.89328,62,1007.3,10.0991,8.33266,63.9095,1006.22
20181010.000000,448,7.69458,4.19424,68,1007.3,11.644,8.67474,56.9512,1006.18
20181010.000000,454,9.7917,5.09374,69,1007.2,10.2613,9.71478,62.9706,1005.96
20181010.000000,500,8.8922,5.49466,65,1007.2,9.94084,9.81394,66.2901,1006.72
20181010.000000,506,8.69174,5.99324,63,1007,10.4946,10.247,64.4435,1006.52
20181010.000000,512,8.19316,5.69512,63,1006.9,10.7641,9.40455,61.4733,1006.45
20181010.000000,518,9.7917,6.39416,64,1006.7,11.5284,9.33571,64.5149,1005.32
20181010.000000,524,9.29312,5.59746,68,1006.7,11.3332,9.55076,66.3965,1006.63
