"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","WRF_GUST","WRF_WSPD","WRF_WDIR","WRF_PSFC"
20181010.000000,0,7.89504,6.39416,58,1008,0,5.16303,71.2319,1007.58
20181010.000000,6,8.0955,3.29474,70,1008.1,5.51774,5.5368,69.1846,1007.1
20181010.000000,12,7.196,2.99662,74,1008.1,5.53445,5.46336,66.0484,1006.94
20181010.000000,18,7.29366,3.69566,79,1008.2,5.54312,5.5467,67.198,1007.09
20181010.000000,24,6.2965,3.89612,71,1008.2,5.58051,5.59419,66.7383,1007.54
20181010.000000,30,7.29366,4.19424,72,1008.1,5.79012,5.85509,64.3923,1006.6
20181010.000000,36,7.196,3.598,92,1008,6.03879,6.11136,64.8467,1006.78
20181010.000000,42,7.39132,2.89896,79,1008,6.25935,6.29566,67.5561,1004.93
20181010.000000,48,5139.49,5139.49,9999,9999,6.50595,6.53992,63.5601,1005.55
20181010.000000,54,6.2965,3.09942,73,1007.9,6.50421,5.99336,55.5183,1008.4
20181010.000000,100,7.59178,4.3947,94,1007.9,6.00867,6.00614,53.9407,1007.04
20181010.000000,106,5139.49,5139.49,9999,9999,5.95448,5.85113,57.8698,1007.52
20181010.000000,112,6.49182,3.19708,87,1007.8,5.7948,5.64249,55.0886,1006.16
20181010.000000,118,6.49182,4.3947,96,1007.8,6.10243,6.15862,54.8939,1007.28
20181010.000000,124,8.0955,4.29704,66,1007.8,6.2654,6.14061,60.5935,1008.44
20181010.000000,130,6.59462,3.29474,70,1007.8,6.10152,6.14812,64.06,1008.46
20181010.000000,136,8.39362,4.09658,60,1007.8,6.23434,6.26335,64.2238,1006.7
20181010.000000,142,8.0955,3.598,89,1007.8,6.71829,6.74798,64.5784,1008.03
20181010.000000,148,5139.49,5139.49,9999,9999,6.7581,6.2952,61.0826,1007.48
20181010.000000,154,7.59178,4.4975,81,1007.9,6.25241,6.33737,55.943,1007.55
20181010.000000,200,6.89274,3.09942,92,1008,6.85779,6.92117,57.0594,1008.08
20181010.000000,206,5139.49,5139.49,9999,9999,6.93452,7.04013,52.8056,1007.91
20181010.000000,212,5139.49,5139.49,9999,9999,7.31781,7.40197,51.3505,1008.58
20181010.000000,218,6.39416,2.79616,79,1007.9,7.35127,7.32107,50.5366,1008.46
20181010.000000,224,7.196,3.89612,72,1007.8,7.28751,7.37787,46.2271,1006.58
20181010.000000,230,7.39132,3.4952,88,1007.8,7.40738,7.5068,45.9255,1007.84
20181010.000000,236,7.69458,4.09658,88,1007.8,7.71369,7.82186,46.0893,1008.58
20181010.000000,242,6.69228,4.19424,79,1007.9,7.71213,7.58745,49.9493,1007.42
20181010.000000,248,5.69512,3.598,82,1008,7.50254,7.28619,51.7,1007.69
20181010.000000,254,8.79454,4.79562,100,1008,7.24019,6.77359,52.2632,1007.18
20181010.000000,300,6.69228,4.79562,95,1008,6.68563,6.51165,50.5648,1008.88
20181010.000000,306,6.39416,3.89612,101,1008,7.07237,7.07508,52.9888,1006.26
20181010.000000,312,7.59178,4.59516,101,1008,7.35082,7.08944,51.7201,1008.59
20181010.000000,318,11.0921,4.4975,98,1008,7.688,6.98076,51.8323,1006.2
20181010.000000,324,12.2897,6.49182,101,1008,7.2837,5.2348,43.9313,1007.94
20181010.000000,330,12.3874,5.79278,105,1008.1,8.70752,8.61209,57.9896,1008.02
20181010.000000,336,10.1926,6.49182,100,1008.1,10.2835,9.93078,54.7614,1006.6
20181010.000000,342,5139.49,5139.49,9999,9999,10.7349,10.1294,56.1765,1007.04
20181010.000000,348,9.39078,6.09604,104,1008.1,9.97819,8.90038,61.8472,1007.59
20181010.000000,354,8.69174,5.19654,100,1008,11.0285,9.41846,44.9202,1007.34
20181010.000000,400,9.19032,5.69512,104,1007.9,10.934,10.9048,66.856,1008.37
20181010.000000,406,11.4879,5.69512,100,1007.8,10.8988,9.92422,56.4884,1006.32
20181010.000000,412,7.29366,5.19654,108,1007.6,10.2358,8.93645,65.4108,1006.88
20181010.000000,418,10.6912,4.59516,101,1007.5,11.0119,9.52228,65.1077,1006.6
20181010.000000,424,9.99216,6.09604,106,1007.4,10.4353,8.8399,62.7483,1006.77
20181010.000000,430,7.59178,5.09374,87,1007.2,9.98789,9.30226,63.3175,1006.81
20181010.000000,436,7.59178,4.3947,92,1007.1,10.0991,8.75356,58.7505,1006.22
20181010.000000,442,6.99554,3.99892,82,1007.1,11.644,8.82865,55.4461,1006.18
20181010.000000,448,7.49412,3.89612,87,1007.1,10.2613,9.72702,62.8295,1005.96
20181010.000000,454,9.29312,5.397,97,1007,9.94084,10.154,62.2428,1006.72
20181010.000000,500,5139.49,5139.49,9999,9999,10.4946,10.3812,62.9367,1006.52
20181010.000000,506,8.29082,5.397,100,1006.9,10.7641,9.45466,60.9195,1006.45
