"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC","HRRRLES_GUST","HRRRLES_WSPD","HRRRLES_WDIR","HRRRLES_PSFC"
20181010.000000,406,10.1926,8.0955,104,1007.7,9.1945,8.88774,99.9426,1007.81,9.38897,9.38662,88.3249,1006.25
20181010.000000,412,10.6912,8.98986,109,1007.7,8.96964,8.75882,99.0124,1006.7,9.52161,9.29722,87.2739,1006.71
20181010.000000,418,9.59124,7.89504,105,1007.7,8.98689,8.98126,99.284,1006.51,9.44108,9.3846,87.0237,1006.9
20181010.000000,424,10.2903,7.89504,104,1007.7,9.22324,9.17224,99.4367,1005.96,9.71691,9.71691,88.4844,1005.55
20181010.000000,430,10.0898,7.69458,106,1007.7,9.1818,8.92081,98.2642,1006.6,9.86898,9.71654,88.3706,1007.73
20181010.000000,436,10.6912,9.29312,112,1007.7,8.9308,8.8402,96.1854,1006.39,9.77547,9.43109,88.2231,1007.82
20181010.000000,442,10.7889,7.89504,114,1007.6,9.00976,8.95675,96.0459,1006.89,9.44165,9.20315,90.3636,1007.63
20181010.000000,448,11.5907,9.09266,109,1007.4,9.01927,9.01097,95.4411,1007.01,9.28112,9.10758,89.821,1007.84
20181010.000000,454,12.2897,9.69404,111,1007.2,9.25267,9.25267,96.8794,1004.9,9.33852,9.2604,90.0239,1006.76
20181010.000000,500,11.7912,9.09266,110,1007,9.4043,9.34026,97.1972,1005.77,9.4378,9.3577,92.3035,1007.45
20181010.000000,506,11.2926,8.59408,110,1006.8,9.37018,9.18044,98.567,1006.08,9.78604,9.73029,91.268,1006.72
20181010.000000,512,11.7912,9.29312,110,1006.6,9.32229,9.28506,100.497,1005.71,10.0497,10.0497,92.762,1006.43
20181010.000000,518,11.2926,9.09266,111,1006.4,9.42607,9.40571,101.981,1005.64,10.0552,9.73442,94.1902,1005.18
20181010.000000,524,12.6907,9.39078,110,1006.3,9.67843,9.66334,101.654,1005.78,10.1801,10.1428,92.8893,1006.37
20181010.000000,530,11.8888,9.88936,120,1006.5,9.81011,9.79875,102.034,1006.51,10.5971,10.5009,92.2654,1006.82
20181010.000000,536,18.7816,12.0893,139,1006.8,10.1329,10.0262,102.75,1005.78,10.8501,10.568,86.6606,1005.44
20181010.000000,542,14.2892,10.9893,142,1006.7,10.1617,10.0974,104.725,1004.62,10.8833,10.6037,88.0045,1006.5
20181010.000000,548,14.1864,9.99216,137,1006.6,10.1193,9.96142,104.698,1006.2,10.9862,10.6036,87.731,1004.55
20181010.000000,554,11.7912,10.0898,138,1006.4,10.0366,9.96904,105.475,1006.5,10.6432,10.2073,87.5196,1005.06
