"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC","HRRRLES_GUST","HRRRLES_WSPD","HRRRLES_WDIR","HRRRLES_PSFC"
20181010.000000,406,8.19316,4.59516,67,1007.8,9.99093,9.31763,67.3961,1006.94,6.21277,6.20582,78.3839,1004.97
20181010.000000,412,9.49358,6.59462,64,1007.7,10.5699,10.1617,67.1672,1007.35,6.24934,6.0129,81.8846,1003.2
20181010.000000,418,7.9927,5.79278,68,1007.5,10.6421,9.03991,65.3894,1007.54,6.03261,5.98791,82.102,1007.4
20181010.000000,424,9.59124,6.1937,65,1007.3,10.7991,9.24423,64.5912,1008.7,6.18744,6.18352,82.6774,1006.59
20181010.000000,430,8.29082,5.09374,65,1007.3,10.6403,8.73628,69.4738,1007.47,6.31874,6.18057,83.0471,1003.63
20181010.000000,436,9.49358,5.397,67,1007.4,10.7627,8.56921,68.9722,1008.07,6.18826,5.6196,83.3231,1006.45
20181010.000000,442,7.29366,4.89328,62,1007.3,10.5837,9.44882,67.687,1007.81,5.68671,5.50041,78.8157,1005.87
20181010.000000,448,7.69458,4.19424,68,1007.3,10.4126,10.1165,70.4129,1006.14,5.51295,5.31507,73.4907,1004.1
20181010.000000,454,9.7917,5.09374,69,1007.2,10.6096,8.20611,66.108,1006.82,5.3344,5.27199,73.423,1006.46
20181010.000000,500,8.8922,5.49466,65,1007.2,10.8785,8.65144,60.2358,1005.99,5.326,5.23275,72.3779,1005.6
20181010.000000,506,8.69174,5.99324,63,1007,11.2057,10.2984,64.2639,1006.41,5.46538,5.4636,69.4289,1006.65
20181010.000000,512,8.19316,5.69512,63,1006.9,11.4538,9.56213,62.1748,1005.63,5.48296,5.21779,67.8378,1006.67
20181010.000000,518,9.7917,6.39416,64,1006.7,11.2961,8.90844,67.8083,1005.55,5.23929,5.24625,67.1042,1006.19
20181010.000000,524,9.29312,5.59746,68,1006.7,11.3371,9.76229,66.879,1005.63,5.41968,5.3775,65.6388,1006.5
20181010.000000,530,9.09266,6.09604,65,1006.5,10.8489,8.97509,64.7662,1006.61,5.45801,5.44277,64.8065,1006.38
20181010.000000,536,9.69404,6.39416,66,1006.4,11.039,7.68752,61.2784,1005.92,5.53344,5.50763,66.1371,1006.24
20181010.000000,542,9.39078,6.1937,61,1006.3,9.75386,8.29761,52.68,1006.59,5.68881,5.59227,61.6788,1007.42
20181010.000000,548,8.79454,6.49182,63,1006.3,10.24,7.75697,63.0934,1008.4,5.68787,5.37435,60.5484,1005.94
20181010.000000,554,8.8922,4.89328,64,1006.2,10.2746,9.26047,68.6535,1005.73,5.53907,5.48159,58.4287,1005.9
20181010.000000,600,8.8922,5.79278,68,1006.1,10.4383,9.54927,74.3016,1007.55,5.75051,5.61016,59.8282,1006.92
20181010.000000,606,8.98986,5.397,62,1005.9,10.8417,8.51176,73.9555,1008.42,5.80328,5.66309,59.5186,1005.66
20181010.000000,612,8.19316,5.19654,57,1005.7,9.385,8.29346,70.574,1007.54,5.87865,5.65772,59.4685,1006.77
20181010.000000,618,7.49412,4.89328,52,1005.6,10.5079,7.72945,78.1749,1005.24,6.22943,5.9964,55.9596,1004.03
20181010.000000,624,8.59408,5.19654,59,1005.4,10.0548,9.11192,75.2656,1005.18,5.96485,5.34538,63.6704,1005.1
20181010.000000,630,8.39362,5.2942,63,1005.5,9.98507,8.01641,67.714,1005.03,6.02446,5.7837,63.7341,1003.58
20181010.000000,636,13.2869,9.99216,111,1005.9,9.39906,8.7345,76.5208,1004.14,6.3809,5.90862,62.9552,1004.52
20181010.000000,642,10.8917,6.1937,110,1005.9,9.70973,8.40385,72.7909,1004.05,7.03283,6.61948,61.3898,1003.51
20181010.000000,648,9.59124,4.4975,104,1005.9,9.32878,8.10147,69.6791,1003.88,7.1698,6.59347,60.2383,1003.82
20181010.000000,654,7.39132,4.59516,103,1005.9,10.3062,8.84277,60.9759,1003.32,7.03018,6.64081,52.911,1004.1
20181010.000000,700,6.49182,4.89328,103,1005.9,10.0948,9.26041,63.6365,1001.98,7.24414,6.43156,50.751,1003.8
20181010.000000,706,7.9927,5.59746,96,1005.7,9.91946,8.86089,61.4359,1002.07,7.06533,6.50905,59.7608,1002.84
20181010.000000,712,7.39132,5.2942,98,1005.6,10.5988,8.96153,57.982,1001.73,7.35996,6.797,66.1412,1001.62
20181010.000000,718,8.49128,4.89328,100,1005.4,10.6263,10.4076,62.114,1002.6,7.7984,7.27827,68.625,1005.02
20181010.000000,724,8.8922,4.09658,85,1005.4,11.4514,9.55113,67.8763,1002.81,8.31209,7.53364,67.4953,1000.93
20181010.000000,730,8.39362,5.89558,84,1005.4,11.0193,8.91304,67.535,1004,7.99718,7.37799,70.3636,1003.95
20181010.000000,736,7.0932,3.99892,73,1005.4,10.6325,8.53161,60.5797,1003.04,7.39667,6.5899,69.2274,1000.02
20181010.000000,742,9.7917,6.2965,81,1005.3,10.259,8.73359,65.4869,1002.27,7.97123,7.34445,64.6262,1001.27
20181010.000000,748,8.39362,3.79846,77,1005.2,11.2286,9.85752,67.9639,1002.98,7.90848,6.55047,59.9493,1000.85
20181010.000000,754,8.19316,3.89612,76,1005,10.7285,8.7646,59.2974,1003.04,7.72882,6.58686,65.9709,1005.35
20181010.000000,800,7.29366,5.09374,72,1004.8,11.0127,9.14102,58.0196,1003.33,6.94181,5.9696,57.0453,1003.73
20181010.000000,806,6.99554,4.29704,70,1004.7,10.8826,10.562,59.6456,1004.23,7.25131,6.36032,62.1973,1003.93
20181010.000000,812,9.09266,5.99324,64,1004.4,10.769,10.7411,62.2382,1002.79,6.33728,5.24379,62.5855,1001.11
