"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC","HRRRLES_GUST","HRRRLES_WSPD","HRRRLES_WDIR","HRRRLES_PSFC"
20181010.000000,406,11.4879,5.69512,100,1007.8,13.3238,12.1418,62.4268,1007.73,7.86464,7.80531,65.1465,1005.17
20181010.000000,412,7.29366,5.19654,108,1007.6,14.2842,12.4221,63.9008,1006.34,7.80706,7.67458,67.3323,1006.78
20181010.000000,418,10.6912,4.59516,101,1007.5,15.0475,12.7901,62.6972,1007.03,7.79999,7.55551,68.0846,1005.78
20181010.000000,424,9.99216,6.09604,106,1007.4,13.618,12.4693,60.544,1006.9,7.56133,7.51298,65.4257,1006.74
20181010.000000,430,7.59178,5.09374,87,1007.2,14.8662,12.8929,61.2743,1008.17,7.60968,7.29302,62.7492,1005.87
20181010.000000,436,7.59178,4.3947,92,1007.1,13.5338,12.856,61.8054,1008.05,7.48796,7.47997,64.4334,1006.76
20181010.000000,442,6.99554,3.99892,82,1007.1,14.1614,12.3227,64.4418,1006.1,7.51835,7.4484,62.1869,1004.92
20181010.000000,448,7.49412,3.89612,87,1007.1,13.6284,12.4583,60.5942,1007.51,7.55996,7.2861,66.9838,1006.05
20181010.000000,454,9.29312,5.397,97,1007,13.6766,12.2918,53.6406,1006.1,7.46642,7.4644,62.6517,1006.29
20181010.000000,500,5139.49,5139.49,9999,9999,13.9058,12.7817,62.4405,1007.37,7.48108,7.35419,58.3086,1007.24
20181010.000000,506,8.29082,5.397,100,1006.9,13.778,13.4951,61.2726,1005.51,7.45656,7.44515,57.7971,1006.41
20181010.000000,512,9.09266,6.49182,107,1006.8,13.9897,12.674,63.0182,1006.17,7.54722,7.48465,62.1369,1008.54
20181010.000000,518,9.19032,4.69796,96,1006.6,13.0824,11.3428,62.2091,1006.16,7.5368,7.38369,60.4311,1006.38
20181010.000000,524,8.39362,5.59746,98,1006.5,14.5866,10.5847,63.6774,1005.26,7.39483,7.32337,57.9825,1006.29
20181010.000000,530,7.49412,4.69796,94,1006.5,14.1542,13.7634,59.6351,1007.34,7.32401,7.08169,58.4916,1006.92
20181010.000000,536,9.88936,4.3947,82,1006.5,14.1177,12.7644,67.994,1006.31,7.26051,7.24237,56.3706,1005.49
20181010.000000,542,9.09266,4.4975,101,1006.3,14.7367,14.7995,69.4718,1006.16,7.45332,7.41762,56.1177,1005.88
20181010.000000,548,7.196,3.89612,88,1006.3,14.9064,12.9335,63.3006,1006.28,7.97919,7.94906,57.8975,1006.8
20181010.000000,554,8.0955,4.79562,93,1006.1,14.7158,12.749,68.9165,1007.15,8.01297,7.77012,58.3508,1006
20181010.000000,600,6.59462,3.99892,102,1006.1,13.9683,13.1371,77.1623,1007.38,8.02671,8.03415,55.1586,1005.15
20181010.000000,606,8.49128,3.79846,94,1005.9,14.1213,12.4106,68.2514,1007.24,8.38294,8.2834,57.9069,1005.44
20181010.000000,612,8.29082,4.29704,97,1005.8,14.2547,12.1869,74.9878,1007.11,8.36548,8.19326,54.5635,1005.42
20181010.000000,618,9.19032,5.59746,104,1005.6,12.956,12.0865,65.5605,1005.56,8.53563,8.32107,56.0555,1003.41
20181010.000000,624,7.69458,5.09374,105,1005.4,13.8838,13.2847,72.7175,1005.09,8.64547,8.45691,64.0753,1005.38
20181010.000000,630,6.79508,2.40038,77,1005.2,15.2786,13.8957,70.4197,1004.39,8.59301,8.48788,64.7519,1004.8
20181010.000000,636,8.49128,4.59516,94,1005.1,13.8693,13.4706,68.9939,1003.57,8.81457,8.51758,53.8328,1003.54
20181010.000000,642,5139.49,5139.49,9999,9999,13.5145,12.5865,74.5174,1004.72,8.74677,8.07154,52.1392,1004.45
