"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC","HRRRLES_GUST","HRRRLES_WSPD","HRRRLES_WDIR","HRRRLES_PSFC"
10102018.000000,1306,31.07,18.41,80,996.614,70.5614,59.2062,84.3507,986.002,38.1073,34.3016,84.9817,994.761
10102018.000000,1311,32.21,18.41,90,996.276,71.4053,61.5405,88.5824,986.434,33.2926,27.4563,84.5899,995.173
10102018.000000,1316,32.21,18.41,90,996.276,70.8229,63.3706,85.4057,982.086,29.8956,29.7367,86.1182,994.76
10102018.000000,1326,34.52,24.16,90,995.937,69.6243,63.5784,86.6205,982.486,28.0304,25.7104,101.272,995.659
10102018.000000,1331,34.52,19.57,90,995.598,68.5426,65.7836,86.7971,982.578,33.969,30.0891,111.365,996.488
10102018.000000,1336,39.12,20.71,80,995.26,73.2438,67.5992,86.739,982.014,33.1576,33.3046,99.1149,995.324
10102018.000000,1341,39.12,20.71,80,995.598,79.5696,72.4864,85.6079,981.599,39.7729,29.3056,97.0106,995.487
10102018.000000,1346,33.38,20.71,90,995.26,76.8811,66.6636,82.7124,981.053,32.7596,30.4937,85.2001,993.87
10102018.000000,1356,33.38,20.71,90,994.583,69.3905,62.1142,81.7578,981.543,37.1356,27.2693,77.4458,994.065
10102018.000000,1401,33.38,21.85,80,994.244,77.1035,72.8177,85.5189,980.365,36.3296,33.2643,77.1224,993.108
10102018.000000,1406,40.29,23.02,90,993.567,78.4625,68.5567,81.5228,978.265,38.3718,37.1516,75.0338,993.892
10102018.000000,1411,40.29,18.41,90,992.889,82.945,69.9826,84.135,976.796,36.2617,34.5885,77.52,992.838
10102018.000000,1416,39.12,21.85,100,993.228,85.9686,72.8421,85.9893,975.633,33.5038,33.1174,78.7588,991.909
10102018.000000,1426,34.52,19.57,100,992.889,86.377,79.808,84.4827,976.44,33.9975,33.8927,79.3132,992.29
10102018.000000,1431,37.98,20.71,90,992.212,88.2708,83.2406,84.9699,972.656,34.657,34.2645,83.4683,990.986
10102018.000000,1436,37.98,25.32,90,991.873,94.8314,81.8102,85.601,974.56,36.4597,35.7552,81.3844,991.259
10102018.000000,1441,37.98,25.32,90,991.873,93.0114,87.6624,86.7772,967.119,36.3341,35.6201,81.1509,990.89
10102018.000000,1446,47.18,23.02,80,990.857,105.864,89.915,84.0451,968.939,37.6729,36.4334,88.9765,990.202
