"DATE","TIME","OBS_WSPD","OBS_WDIR","OBS_PSFC","HRRR_WSPD","HRRR_WDIR","HRRR_PSFC","WRFHRRR_WSPD","WRFHRRR_WDIR","WRFHRRR_PSFC"
20181010.000000,0,5.59746,61,1008,5.30461,60.5221,1007.53,6.53018,62.1751,1007.61
20181010.000000,100,6.89274,68,1007.8,5.8318,62.1976,1007.84,7.67516,56.3233,1009.1
20181010.000000,200,8.79454,87,1007.9,8.19652,87.6371,1008.03,9.66557,78.8205,1007
20181010.000000,300,8.8922,108,1008.2,9.23112,96.5879,1008.15,11.0093,86.2678,1007.96
20181010.000000,400,8.49128,103,1007.7,9.48408,97.8869,1007.83,10.9275,86.5431,1008.85
20181010.000000,500,9.09266,110,1007,10.0842,98.9378,1006.74,11.2804,88.5746,1007.95
20181010.000000,600,8.39362,140,1006.3,10.4327,116.334,1006.43,11.6092,91.333,1007
20181010.000000,700,10.6912,144,1006,10.2657,121.642,1006.1,12.6472,91.2973,1004.9
20181010.000000,800,11.7912,129,1004.4,10.705,112.539,1005.04,14.6744,116.607,1004.14
20181010.000000,900,11.1898,130,1003,11.0745,106.818,1003.34,14.5778,113.403,1004.73
20181010.000000,1000,11.6884,137,1002,12.2564,118.622,1002.28,12.3983,111.175,1005.75
20181010.000000,1100,16.9877,148,1001.4,15.5962,130.965,1001.63,14.2522,105.47,1003.65
20181010.000000,1200,16.484,128,999.6,14.7798,125.605,1000.12,14.6578,104.94,1002.44
20181010.000000,1300,15.0859,143,998.2,17.5162,135.916,999.216,17.1744,134.347,1001.02
20181010.000000,1400,18.5862,143,996.1,17.5361,137.885,996.766,20.5564,119.758,1001.03
20181010.000000,1500,22.0814,152,993.7,19.3955,141.516,994.057,21.912,117.38,996.159
20181010.000000,1600,23.0786,163,989.6,25.2341,148.335,991.564,22.1597,125.84,996.107
20181010.000000,1700,27.4784,185,986.4,27.2432,148.265,987.633,24.2543,135.672,992.781
20181010.000000,1800,25.1757,205,986.1,25.291,185.623,982.554,26.8193,137.918,992.803
20181010.000000,1900,16.8849,213,990.4,24.3897,202.119,989.115,31.1622,159.488,989.271
20181010.000000,2000,12.9888,224,993.9,18.2125,224.439,993.23,37.4795,172.941,985.142
20181010.000000,2100,10.8917,234,996.6,13.8437,240.541,996.148,37.914,185.438,986.32
20181010.000000,2200,9.7917,236,998.2,11.5625,241.851,998.063,30.45,207.368,988.709
20181010.000000,2300,9.69404,242,999.8,11.0195,247.168,999.537,21.4946,236.627,993.787
20181012.000000,0,7.39132,267,1001.6,10.8475,262.846,1001.56,15.1271,246.251,997.31
20181012.000000,100,5.69512,259,1003.2,8.3684,259.414,1002.86,12.3813,260.584,998.785
20181012.000000,200,5.79278,273,1004.3,7.64194,268.987,1004.23,10.0899,265.942,1001.46
20181012.000000,300,3.598,264,1005.2,6.84349,266.032,1005.16,11.1108,262.625,1002.81
20181012.000000,400,3.69566,262,1006.2,6.02945,259.908,1005.98,10.3796,268.629,1002.3
20181012.000000,500,3.19708,262,1006.9,5.3808,254.394,1006.66,9.69354,261.777,1005.41
20181012.000000,600,3.19708,253,1007.1,5.26405,253.682,1006.98,8.125,262.5,1005.29
20181012.000000,700,3.99892,267,1007.7,5.09819,263.269,1007.48,8.45492,273.916,1005.07
20181012.000000,800,2.19992,271,1008,4.30434,266.031,1007.88,7.64611,271.475,1006.8
20181012.000000,900,2.49804,274,1008.6,4.05116,273.671,1008.48,6.95224,265.864,1007.87
20181012.000000,1000,2.09712,288,1009,3.44944,285.84,1008.81,7.05831,271.299,1007
