"DATE","TIME","OBS_WSPD","OBS_WDIR","OBS_PSFC","HRRR_WSPD","HRRR_WDIR","HRRR_PSFC","WRFHRRR_WSPD","WRFHRRR_WDIR","WRFHRRR_PSFC"
20181010.000000,0,6.39416,58,1008,4.86772,54.8675,1007.46,6.1307,56.7225,1007.65
20181010.000000,100,4.3947,94,1007.9,5.05712,58.17,1007.43,7.84963,60.0672,1006.39
20181010.000000,200,3.09942,92,1008,5.63424,58.2491,1007.43,7.97039,65.4533,1007.93
20181010.000000,300,4.79562,95,1008,6.00504,65.4786,1007.33,8.55132,71.9121,1006.9
20181010.000000,400,5.69512,104,1007.9,6.44176,77.4876,1007.2,8.54967,71.7124,1007.7
20181010.000000,500,5139.49,9999,9999,5.76788,73.9735,1006.73,8.42295,66.1936,1006.24
20181010.000000,600,3.99892,102,1006.1,5.47002,67.906,1005.85,7.88739,58.4646,1007.18
20181010.000000,700,8.49128,113,1005.6,7.31984,96.3428,1005.13,8.57543,55.2725,1005.36
20181010.000000,800,8.29082,91,1004.7,6.10244,95.6856,1004.35,9.7095,68.4567,1004.09
20181010.000000,900,3.89612,90,1003.2,5.77419,76.5847,1003.23,9.76765,68.7634,1004.44
20181010.000000,1000,3.79846,76,1002.1,6.90123,62.2393,1002.2,9.18293,66.3058,1003.65
20181010.000000,1100,5139.49,9999,9999,6.59284,70.8061,1001.36,7.0903,79.5112,1002.99
20181010.000000,1200,7.49412,99,999.8,7.82587,63.452,1000.09,10.1983,68.9167,1001.93
20181010.000000,1300,9.69404,54,997.8,10.7921,41.3394,997.792,10.8546,65.8232,999.343
20181010.000000,1400,11.9916,47,995,10.6693,32.8093,995.802,2.00467,74.6288,1001.14
20181010.000000,1500,10.4907,44,991.5,13.3911,33.9933,991.966,13.1595,64.1982,996.921
20181010.000000,1600,12.2897,30,985.8,15.9024,35.7467,989.261,11.1689,105.056,995.707
20181010.000000,1700,20.8838,359,976,26.0527,9.23927,981.833,20.9804,55.8683,990.697
20181010.000000,1800,24.4767,319,973.5,23.1644,357.315,977.8,22.6403,48.2292,986.585
20181010.000000,1900,24.9804,302,982.6,18.3828,311.617,980.55,25.4418,46.134,976.689
20181010.000000,2000,21.6805,290,989.2,16.1617,294.339,987.776,22.6838,23.2599,971.852
20181010.000000,2100,20.5806,280,994,15.5708,280.32,992.83,27.242,333.999,973.343
20181010.000000,2200,20.6834,284,997,12.6237,285.148,996.705,32.034,298.007,981.88
20181010.000000,2300,17.0854,285,999.5,11.2154,287.021,999.371,21.6874,291.154,989.669
20181012.000000,0,17.0854,292,1001.2,10.2906,288.581,1000.69,23.2462,288.875,994.926
20181012.000000,100,16.484,288,1003,9.50924,284.722,1002.25,20.8424,282.612,998.404
20181012.000000,200,14.3869,293,1004.2,8.8495,289.782,1003.37,16.8175,284.901,999.689
20181012.000000,300,11.9916,293,1005,7.92022,289.942,1004.35,15.9971,287.733,1000.69
20181012.000000,400,11.6884,294,1005.7,7.18657,287.507,1005.05,15.1586,294.131,1002.33
20181012.000000,500,12.2897,289,1006.2,6.21862,285.688,1005.75,12.6109,290.032,1004.28
20181012.000000,600,8.59408,294,1006.6,5.59628,282.283,1006.16,13.4579,292.167,1003.53
20181012.000000,700,9.39078,290,1007.4,5.47831,277.46,1006.77,11.4513,292.916,1005.9
20181012.000000,800,10.5884,281,1008.3,5.38211,290.701,1007.66,10.8443,290.527,1004.26
20181012.000000,900,10.0898,281,1008.8,5.62355,290.371,1008.26,9.75781,280.838,1007.16
20181012.000000,1000,8.69174,294,1009.1,4.80359,286.945,1008.66,10.2472,275.134,1006.23
