"DATE","TIME","OBS_WSPD","OBS_WDIR","OBS_PSFC","HRRR_WSPD","HRRR_WDIR","HRRR_PSFC","WRFHRRR_WSPD","WRFHRRR_WDIR","WRFHRRR_PSFC"
20181010.000000,0,6.2965,56,1008.1,4.63122,57.064,1007.63,5.85699,57.1487,1007.76
20181010.000000,100,5.69512,60,1008,4.68851,60.091,1007.66,7.08906,58.0868,1004.54
20181010.000000,200,5.59746,54,1008,5.56416,63.5921,1007.65,7.24984,63.3978,1009.01
20181010.000000,300,5.09374,71,1008.1,5.83332,76.3641,1007.68,7.77589,72.0887,1008.73
20181010.000000,400,6.79508,68,1008,6.164,81.0701,1007.58,7.67826,70.4553,1007.16
20181010.000000,500,5.49466,65,1007.2,5.38409,73.3739,1006.99,8.142,77.3359,1005.23
20181010.000000,600,5.79278,68,1006.1,5.14265,72.5104,1005.78,7.2747,73.3301,1006.47
20181010.000000,700,4.89328,103,1005.9,6.11491,96.9003,1005.84,7.49216,62.4554,1007.24
20181010.000000,800,5.09374,72,1004.8,4.77273,95.2733,1004.93,9.35458,49.5359,1004.34
20181010.000000,900,5.69512,56,1003.2,6.12106,71.8401,1003.45,9.89784,56.2567,1006.52
20181010.000000,1000,6.49182,62,1002.1,6.50356,58.677,1002.25,7.64184,56.0705,1003.86
20181010.000000,1100,7.89504,77,1001.3,6.77758,80.1064,1001.43,5.52549,74.1999,1004.18
20181010.000000,1200,7.69458,74,999.7,7.49427,75.8698,1000.15,9.11375,66.6146,1001.13
20181010.000000,1300,8.8922,67,997.5,8.17525,65.8167,997.853,5.81382,82.1071,1003.46
20181010.000000,1400,9.49358,64,994.8,8.90506,67.9572,994.83,11.5769,97.832,999.746
20181010.000000,1500,11.6884,63,990.8,10.8398,67.2652,991.325,13.353,74.4541,996.208
20181010.000000,1600,13.3897,60,983.1,14.0595,61.8154,991.038,11.6738,75.841,994.333
20181010.000000,1700,27.0775,31,961.9,20.0459,41.8423,977.89,14.0115,77.3148,989.667
20181010.000000,1800,0,6,943.3,18.0705,38.8083,969.577,25.6744,70.7567,982.992
20181010.000000,1900,5139.49,9999,976.1,19.033,303.272,974.631,23.9957,80.6831,973.402
20181010.000000,2000,5139.49,9999,987.3,18.5819,277.32,986.457,23.2409,68.2133,962.799
20181010.000000,2100,5139.49,9999,992.7,17.1915,269.001,992.629,23.5828,330.006,961.331
20181010.000000,2200,5139.49,9999,996.2,13.2775,277.756,996.381,34.3193,289.947,975.054
20181010.000000,2300,5139.49,9999,998.9,11.9805,282.933,999.081,23.2538,293.887,987.318
20181012.000000,0,5139.49,9999,1000.6,11.1336,283.649,1000.73,22.0779,280.841,994.297
20181012.000000,100,5139.49,9999,1002.6,9.86026,278.246,1002.13,17.6693,280.737,997.57
20181012.000000,200,5139.49,9999,1003.8,9.28802,284.364,1003.41,13.6499,274.672,1001.06
20181012.000000,300,5139.49,9999,1004.8,8.25184,284.784,1004.33,14.0955,278.163,1001.57
20181012.000000,400,5139.49,9999,1005.5,6.98656,284.034,1005.13,13.9505,286.043,1002.76
20181012.000000,500,5139.49,9999,1006.1,6.3024,281.132,1005.93,12.5294,283.056,1003.47
20181012.000000,600,5139.49,9999,1006.7,5.42033,278.152,1006.35,11.9382,284.446,1004.67
20181012.000000,700,5139.49,9999,1007.5,5.40147,274.036,1007.03,10.8475,291.425,1005.35
20181012.000000,800,5139.49,9999,1008.1,5.75209,286.277,1007.85,9.4215,285.543,1005.92
20181012.000000,900,5139.49,9999,1008.7,5.7124,290.509,1008.45,9.12523,279.789,1006.3
20181012.000000,1000,5139.49,9999,1009,4.9243,283.058,1008.81,7.62805,280.094,1007.64
