"DATE","TIME","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRF_WSPD","HWRF_WDIR","HWRF_PSFC","WRF_WSPD","WRF_WDIR","WRF_PSFC"
20181010.000000,0,6.39416,58,1008,5.24994,71.3411,1007.63,6.72424,74.0432,1007.63
20181010.000000,100,4.3947,94,1007.9,7.78532,69.4416,1007.25,7.36657,58.6194,1009.09
20181010.000000,200,3.09942,92,1008,8.63706,72.5051,1007.71,8.97128,58.9236,1007.37
20181010.000000,300,4.79562,95,1008,9.47816,74.4597,1007.09,9.1026,55.4094,1006.8
20181010.000000,400,5.69512,104,1007.9,9.59985,79.7855,1007.38,13.3261,59.3706,1008.68
20181010.000000,500,5139.49,9999,9999,9.86301,82.864,1006.62,13.6535,62.8671,1007.54
20181010.000000,600,3.99892,102,1006.1,11.2791,90.8928,1005.93,13.1102,73.6967,1007.46
20181010.000000,700,8.49128,113,1005.6,8.88006,60.2795,1002.44,13.6733,64.069,1001.85
20181010.000000,800,8.29082,91,1004.7,10.0067,66.6457,1002.56,14.836,65.8417,1002.64
20181010.000000,900,3.89612,90,1003.2,12.4799,68.2119,1001.07,16.918,61.4641,1000.58
20181010.000000,1000,3.79846,76,1002.1,15.3645,66.3885,999.293,19.1289,63.3038,1000.43
20181010.000000,1100,5139.49,9999,9999,17.2728,66.0875,999.241,21.5705,59.3783,999.381
20181010.000000,1200,7.49412,99,999.8,27.0092,80.2865,996.418,25.7868,56.7547,996.754
20181010.000000,1300,9.69404,54,997.8,27.1123,74.462,987.717,32.9922,53.4891,985.78
20181010.000000,1400,11.9916,47,995,30.0943,71.9215,982.701,36.9057,63.2276,980.434
20181010.000000,1500,10.4907,44,991.5,37.8236,68.6736,971.963,45.9233,54.3551,964.756
20181010.000000,1600,12.2897,30,985.8,38.3404,76.101,959.875,40.1582,78.2061,952.67
20181010.000000,1700,20.8838,359,976,33.9584,59.0269,944.668,29.9022,86.4346,941.39
20181010.000000,1800,24.4767,319,973.5,53.3291,342.614,950.824,22.7024,307.701,943.014
20181010.000000,1900,24.9804,302,982.6,39.1419,308.069,947.667,53.1484,298.487,954.407
20181010.000000,2000,21.6805,290,989.2,35.5664,299.025,970.844,45.0029,289.335,970.478
20181010.000000,2100,20.5806,280,994,29.5885,293.822,983.45,35.7174,297.482,983.642
20181010.000000,2200,20.6834,284,997,21.9603,293.179,991.977,27.0937,289.066,991.246
20181010.000000,2300,17.0854,285,999.5,19.614,284.857,997.511,25.4244,280.891,996.671
20181012.000000,0,17.0854,292,1001.2,18.7124,285.254,1002.9,22.4031,286.097,1001.41
20181012.000000,100,16.484,288,1003,14.0095,291.792,1001.29,20.1301,284.422,1000.83
20181012.000000,200,14.3869,293,1004.2,13.2317,292.123,1002.57,16.6201,286.57,1001.89
20181012.000000,300,11.9916,293,1005,11.1738,294.155,1003.98,14.8962,283.366,1004.28
20181012.000000,400,11.6884,294,1005.7,10.4626,291.257,1005.71,14.4963,289.817,1005.06
20181012.000000,500,12.2897,289,1006.2,10.7457,287.645,1005.52,13.377,280.718,1005.64
20181012.000000,600,8.59408,294,1006.6,11.8528,296.062,1006.53,11.9613,281.46,1007.8
20181012.000000,700,9.39078,290,1007.4,7.21633,294.485,1007.36,11.6312,301.031,1006.58
20181012.000000,800,10.5884,281,1008.3,7.17296,287.727,1007.28,8.38027,305,1007.39
20181012.000000,900,10.0898,281,1008.8,7.50076,282.357,1007.36,9.25727,289.278,1007.38
20181012.000000,1000,8.69174,294,1009.1,8.07929,282.314,1009.15,10.179,286.63,1009.2
