"DATE","TIME","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRF_WSPD","HWRF_WDIR","HWRF_PSFC","WRF_WSPD","WRF_WDIR","WRF_PSFC"
20181010.000000,0,6.2965,56,1008.1,6.17331,67.8906,1007.62,7.36901,71.0369,1007.88
20181010.000000,100,5.69512,60,1008,7.497,69.6638,1007.22,9.49422,60.4775,1007.18
20181010.000000,200,5.59746,54,1008,8.24462,72.2584,1007.61,11.7012,66.0682,1007.12
20181010.000000,300,5.09374,71,1008.1,8.91462,75.9288,1007.01,12.6207,54.6699,1007.55
20181010.000000,400,6.79508,68,1008,7.53183,81.8924,1007.39,14.3197,67.5788,1008.17
20181010.000000,500,5.49466,65,1007.2,7.6589,82.2513,1006.63,14.8379,64.9275,1005.83
20181010.000000,600,5.79278,68,1006.1,10.9173,94.7226,1006.1,13.8879,68.8232,1007.4
20181010.000000,700,4.89328,103,1005.9,8.5565,69.3364,1002.33,13.1619,60.5118,1002.59
20181010.000000,800,5.09374,72,1004.8,8.87504,72.1759,1002.39,14.2238,57.7715,1003.6
20181010.000000,900,5.69512,56,1003.2,10.8669,75.0816,1001.05,14.8693,53.6466,1001.13
20181010.000000,1000,6.49182,62,1002.1,12.9849,74.601,999.386,18.302,65.2074,999.849
20181010.000000,1100,7.89504,77,1001.3,15.1415,78.4618,999.032,20.03,62.2465,998.168
20181010.000000,1200,7.69458,74,999.7,22.6403,92.0808,996.716,24.2356,62.0916,995.312
20181010.000000,1300,8.8922,67,997.5,22.8577,87.9156,987.759,34.0087,69.632,986.359
20181010.000000,1400,9.49358,64,994.8,24.9704,87.1624,982.603,33.5492,72.3571,982.448
20181010.000000,1500,11.6884,63,990.8,32.2752,89.1352,972.026,42.1976,80.8719,966.646
20181010.000000,1600,13.3897,60,983.1,34.9144,102.842,959.401,43.1919,110.718,955.79
20181010.000000,1700,27.0775,31,961.9,26.3381,105.852,940.091,29.3215,127.376,941.442
20181010.000000,1800,0,6,943.3,44.5679,323.985,926.109,24.2695,242.395,938.9
20181010.000000,1900,5139.49,9999,976.1,40.0462,289.967,934.297,54.6805,286.761,944.928
20181010.000000,2000,5139.49,9999,987.3,36.3691,287.846,965.299,50.301,278.343,968.057
20181010.000000,2100,5139.49,9999,992.7,28.9958,282.599,980.871,38.2757,288.856,982.351
20181010.000000,2200,5139.49,9999,996.2,21.5842,286.751,990.755,30.3059,279.952,992.205
20181010.000000,2300,5139.49,9999,998.9,17.9317,279.621,996.881,21.9205,297.812,998.33
20181012.000000,0,5139.49,9999,1000.6,19.5318,282.031,1002.79,24.3627,279.577,1003.06
20181012.000000,100,5139.49,9999,1002.6,14.9967,288.72,1001.11,20.805,283.39,1000.11
20181012.000000,200,5139.49,9999,1003.8,13.9502,291.375,1002.4,16.6522,279.485,1001.97
20181012.000000,300,5139.49,9999,1004.8,12.065,294.274,1003.91,15.7,280.199,1003.76
20181012.000000,400,5139.49,9999,1005.5,11.3887,289.138,1005.54,11.4839,283.511,1006.65
20181012.000000,500,5139.49,9999,1006.1,11.0837,286.504,1005.37,12.7087,273.397,1007.16
20181012.000000,600,5139.49,9999,1006.7,11.556,294.03,1006.48,11.4799,272.275,1007.93
20181012.000000,700,5139.49,9999,1007.5,6.61819,297.675,1007.39,9.31568,293.302,1007.06
20181012.000000,800,5139.49,9999,1008.1,6.54015,289.618,1007.2,8.24511,292.972,1007.58
20181012.000000,900,5139.49,9999,1008.7,6.85813,281.506,1007.1,8.42603,288.299,1007.61
20181012.000000,1000,5139.49,9999,1009,7.30906,282.017,1008.9,9.34916,287.318,1009.28
