Date	Time	WSPD	WDIR	WGUST	PSFC
9/10/17	12:00	15.94	23	27.8	995.3
9/10/17	12:06	17.11	33	23.91	995.4
9/10/17	12:12	12.83	20	28.38	995.3
9/10/17	12:18	12.25	28	20.22	995.4
9/10/17	12:24	11.47	45	26.63	995.3
9/10/17	12:30	15.75	48	25.08	995.2
9/10/17	12:36	10.3	47	22.94	995.1
9/10/17	12:42	16.33	35	26.05	994.7
9/10/17	12:48	17.88	58	31.88	994.8
9/10/17	12:54	17.3	57	34.02	994.5
9/10/17	13:00	19.44	50	39.07	994.3
9/10/17	13:06	19.63	46	33.82	994
9/10/17	13:12	19.24	52	35.96	993.9
9/10/17	13:18	17.49	45	27.41	993.5
9/10/17	13:24	19.24	35	26.63	993.2
9/10/17	13:30	16.52	36	33.63	992.9
9/10/17	13:36	13.41	40	25.08	992.8
9/10/17	13:42	15.16	46	27.6	992.7
9/10/17	13:48	18.66	50	31.68	992.4
9/10/17	13:54	14.97	46	29.35	992.2
9/10/17	14:00	15.55	36	35.57	991.7
9/10/17	14:06	19.05	43	37.9	991.6
9/10/17	14:12	17.3	35	29.94	991
9/10/17	14:18	18.47	27	32.46	990.4
9/10/17	14:24	21.19	30	38.68	990.1
9/10/17	14:30	18.47	39	34.79	989.8
9/10/17	14:36	20.6	36	36.54	989.5
9/10/17	14:42	18.47	38	35.38	989.1
9/10/17	14:48	25.08	34	39.07	988.7
9/10/17	14:54	19.05	42	32.66	988.6
9/10/17	15:00	19.24	40	37.52	988.5
9/10/17	15:06	18.86	44	37.32	988.2
9/10/17	15:12	17.3	30	37.71	988
9/10/17	15:18	19.05	40	30.91	987.8
9/10/17	15:24	20.41	41	40.63	987.4
9/10/17	15:30	21.97	32	36.93	986.8
9/10/17	15:36	19.05	39	32.66	986.4
9/10/17	15:42	22.35	37	38.29	986.1
9/10/17	15:48	23.13	36	34.6	985.6
9/10/17	15:54	20.8	37	35.77	985.3
9/10/17	16:00	22.74	45	37.9	984.9
9/10/17	16:06	20.41	47	39.85	984.6
9/10/17	16:12	24.1	46	44.9	984.6
9/10/17	16:18	24.69	51	42.38	984.4
9/10/17	16:24	23.33	52	36.35	983.9
9/10/17	16:30	27.21	42	45.87	983
9/10/17	16:36	24.69	38	39.27	982
9/10/17	16:42	23.91	37	37.71	981
9/10/17	16:48	29.35	33	50.15	980.5
9/10/17	16:54	28.38	37	45.49	979.9
9/10/17	17:00	27.99	35	46.85	979.4
9/10/17	17:06	26.24	38	47.04	978.6
9/10/17	17:12	22.74	42	43.35	978.8
9/10/17	17:18	25.08	47	42.96	978.3
9/10/17	17:24	26.82	49	54.23	977.7
9/10/17	17:30	27.99	48	47.43	977.6
9/10/17	17:36	29.94	48	54.04	976.7
9/10/17	17:42	29.16	44	43.35	976.4
9/10/17	17:48	28.96	55	61.04	975.7
9/10/17	17:54	30.52	45	47.82	974.9
9/10/17	18:00	25.46	47	49.37	974.4
9/10/17	18:06	29.94	53	47.43	974
9/10/17	18:12	27.41	51	51.9	973.5
9/10/17	18:18	25.66	55	45.68	973
9/10/17	18:24	23.71	51	40.04	972.3
9/10/17	18:30	28.19	54	45.1	971.8
9/10/17	18:36	25.85	52	41.6	970.8
9/10/17	18:42	20.22	44	46.85	970.2
9/10/17	18:48	21.77	49	59.48	969.3
9/10/17	18:54	25.85	42	47.04	968.4
9/10/17	19:00	-	-	-	-
9/10/17	19:06	26.82	46	42.18	966.6
9/10/17	19:12	-	-	-	-
9/10/17	19:18	-	-	-	-
9/10/17	19:24	24.3	37	42.57	963.1
9/10/17	19:30	25.85	36	48.01	961.7
9/10/17	19:36	32.85	38	60.06	960.5
9/10/17	19:42	33.05	36	57.73	958.6
9/10/17	19:48	36.54	30	63.95	957.2
9/10/17	19:54	37.52	34	59.09	955.8
9/10/17	20:00	33.63	31	53.65	953.5
9/10/17	20:06	-	-	-	-
9/10/17	20:12	40.82	40	63.56	949.8
9/10/17	20:18	43.35	33	59.87	946.8
9/10/17	20:24	40.04	34	60.26	944.2
9/10/17	20:30	37.71	39	62.01	943.6
9/10/17	20:36	38.68	40	62.79	941.4
9/10/17	20:42	26.05	46	61.81	939.9
9/10/17	20:48	21.58	46	29.16	940.1
9/10/17	20:54	8.94	30	29.55	939.7
9/10/17	21:00	5.44	14	9.14	939.9
9/10/17	21:06	11.66	339	13.41	940.3
9/10/17	21:12	13.8	319	16.91	940.6
9/10/17	21:18	22.16	286	25.66	940.8
9/10/17	21:24	30.71	296	36.35	941.1
9/10/17	21:30	35.96	294	43.35	942.7
9/10/17	21:36	37.71	295	45.87	945.2
9/10/17	21:42	-	-	-	-
9/10/17	21:48	54.04	282	65.31	949.3
9/10/17	21:54	50.35	285	69.2	951.7
