WDIR	WSPD	PSFC
37.63	27.389	999.9
35.18	29.935	999.7
32.65	29.857	999.3
38.02	30.246	999.1
42.2	30.071	998.9
43.21	30.538	998.9
37.55	32.734	998.5
39.38	32.929	998.2
37.33	32.676	997.8
38.07	37.477	997.6
51.28	29.721	997.7
59.57	27.505	998.1
82.13	20.605	999.1
77.32	25.931	998.8
68.82	26.844	998.3
67.38	29.469	998
66.45	28.322	997.7
66.45	29.294	997.4
56.7	30.577	997.2
59.79	29.099	997
63	26.495	997
54.22	29.546	996.7
51.51	31.354	996.3
56.04	32.19	996.1
58.32	31.587	995.9
62.17	31.024	995.7
63.88	28.749	995.7
58.24	29.994	995.6
52.78	37.808	995.3
53.97	33.162	995
51.85	35.922	994.4
48.79	37.73	993.9
49.81	38.274	993.4
51.93	41.443	993.1
52.53	35.514	993.1
52.92	38.857	992.9
53.24	42.901	992.4
56.11	41.015	992.4
55.96	35.981	992.3
56.9	37.225	991.9
58.66	36.933	991.6
58.83	37.477	991.3
56.59	42.24	990.8
56.01	41.598	990.5
58.77	42.104	990.2
61.26	36.233	990.2
61.28	38.78	989.9
60.64	37.166	989.7
56.68	41.579	989.2
56.6	38.819	988.8
64.75	37.03	988.6
66.37	37.458	988.4
62.57	42.395	987.5
62.92	44.436	987.1
55.22	48.46	986.5
55.45	45.311	986.2
53.15	48.79	985.2
49.79	52.542	984.4
50.44	49.179	983.9
49.95	50.501	983.4
53.09	48.849	983
54.1	52.523	981.8
54.27	57.46	980.8
54.36	53.125	980.8
52.18	50.287	980.7
63.25	47.527	980.7
61.63	47.294	980.3
58.78	51.065	979.5
59.66	46.05	979.4
66.53	43.775	979.4
60.18	42.531	979.1
53.69	48.421	978
54.8	48.382	977.4
56.68	50.015	976.5
55.6	49.976	976.3
54.74	44.903	975.8
57.04	44.981	975.3
53.88	51.104	974.4
56.22	50.171	974
59.37	46.205	973.5
51.34	47.935	972.9
51.8	50.657	972
52.65	45.311	971.5
61.19	43.814	970.7
58.36	44.261	969.9
55.89	52.523	968.6
53.99	52.62	967.8
51.05	52.698	966.9
49.42	52.503	966
51.2	51.687	965.1
48.8	55.613	964.1
41.15	59.734	962.7
41.93	58.024	961.8
41.49	63.35	960.5
42.16	60.998	959.5
38.2	64.108	957.8
34.14	70.756	955.9
33.68	71.048	954.5
33.39	70.892	953.5
27.1	72.914	952.7
26.09	69.745	951.9
19.46	68.054	951.1
13.67	66.577	949.8
11.85	63.097	949.7
9.68	58.646	950.6
5.86	51.784	951.4
359.82	54.972	952.1
348.4	52.503	953.3
337.99	43.562	954.8
309.27	40.16	955.9
302.52	43.017	957
306.45	41.384	958.3
304.79	42.57	959.7
303.33	42.181	961.3
298.73	36.505	962.6
286.02	31.743	964
290.37	32.676	965.4
285.92	28.847	966.6
284.86	26.611	967.6
284.9	27.175	968.6
282.96	26.048	969.6
283.27	21.965	970.4
281.3	23.948	971.3
285.12	24.59	972.2
279.86	23.035	973.2
278.28	22.685	973.9
276.88	23.112	974.4
271.89	25.62	974.9
280.45	21.596	975.4
274.94	21.654	975.9
278.74	24.317	976.5
268.55	26.32	977.1
271.81	24.745	977.8
274.64	26.883	978.4
271.66	26.436	978.9
273.7	26.689	979.4
274.53	25.348	979.8
271.59	24.22	980.3
272.84	23.229	980.9
269.24	26.553	981.3
265.15	29.352	981.9
259.01	29.119	982.2
256.46	32.754	982.5
256.44	35.786	982.9
257.15	35.825	983.2
267.72	32.89	983.8
255.35	37.341	984.1
253.37	38.216	984.5
258.36	35.786	985.1
262.11	30.985	985.6
261.85	31.685	986
257.94	33.454	986.3
264.55	28.827	986.8
266.03	25.873	987.1
266.53	25.367	987.4
265.2	27.972	987.7
266.78	27.292	988
256.56	31.199	988.2
255.03	31.976	988.5
254.48	35.689	988.7
251.18	36.816	988.9
247.45	36.389	989
249.97	38.391	989.2
248.17	37.924	989.4
245.59	37.497	989.6
246.98	41.618	989.7
244.85	41.073	989.9
242.68	40.685	990.1
245.77	41.054	990.5
248.62	40.354	991
245.54	38.43	991.2
246.43	41.443	991.5
245.32	40.354	991.8
246.04	44.261	992
243.28	44.281	992.2
243.21	42.765	992.5
240.85	44.475	992.7
245.38	41.637	993.1
243.78	42.998	993.5
245.41	42.726	993.7
244.36	41.035	993.8
248.79	42.881	994.2
249.89	42.706	994.4
258.18	40.276	994.9
258.9	32.21	995.2
253.04	34.445	995.3
247.08	36.641	995.6
248.57	42.823	995.8
249.11	41.676	995.9
244.08	39.013	996
244.24	40.743	995.9
242.84	40.665	996.1
240.87	41.89	996.1
238.41	41.443	996.3
238.94	41.326	996.5
247.19	40.685	997.2
239.34	37.788	997.4
246.28	37.4	997.9
249.05	31.976	998.1
244.68	32.054	998.1
242.53	32.832	998.3
238.44	31.121	998.2
238.88	31.587	998.4
239.15	29.08	998.4
239.39	29.566	998.5
238.26	29.08	998.6
238.82	29.449	998.8
238.4	33.784	999
243.81	32.987	999.3
247.64	28.672	999.6
246.47	29.449	999.7
239.39	29.41	999.9
234.71	27.097	999.9
231.6	27.622	999.8
232.77	29.683	999.8
232.15	30.421	999.9
234.27	30.168	1000
237.16	30.81	1000.1
235.52	30.441	1000.2
230.36	30.168	1000.3
233.04	27.7	1000.6
237.83	30.79	1000.7
241.82	30.499	1000.9
234.74	29.488	1001.1
238.67	29.508	1001.3
239.73	29.527	1001.4
238.47	27.933	1001.5
235.84	26.436	1001.6
231.63	28.438	1001.7
234.29	26.048	1001.9
236.41	25.62	1002
236.57	25.814	1002.2
233.76	27.525	1002.3
235.29	28.069	1002.3
237.97	27.253	1002.5
238.12	27.408	1002.6
237.16	27.389	1002.6
239.49	27.058	1002.8
243.08	24.823	1002.9
241.23	24.551	1003
240.71	25.464	1003
