TIME	WSPD	GUST
1200	15.94	27.8
1230	13.14	23.6
1300	18.1	34.6
1330	17.6	29.1
1400	16.6	32.3
1430	19.1	35.3
1500	21.3	36.6
1530	20.4	35.8
1600	22.3	36.1
1630	25.2	41.3
1700	28.2	47.3
1730	26.8	47.2
1800	28.3	52.7
1830	25.8	43.6
1900	24.2	49.6
1930	24.3	45.7
2000	35.8	58.8
2030	40.3	61.2
2100	11.9	22.5
2130	29.5	35.0
2200	53.2	68.6
2230	46.3	60.3
2300	40.9	52.8
2330	39.4	50.3
0000	36.3	45.5
0030	35.3	44.2
0100	37.2	48.0
0130	39.5	45.6
0200	34.7	44.8
0230	36.3	45.3
0300	32.3	44.3
0330	36.4	43.3
0400	38.5	45.3
0430	40.8	47.3
0500	38.2	49.3
0530	37.2	46.9
0600	36.1	46.8
0630	31.3	39.3
0700	33.2	40.1
0730	32.5	40.2
0800	28.5	35.1
0830	26.5	32.4
0900	25.7	31.5
0930	25.6	30.9
1000	25.1	28.6
1030	24.1	29.8
1100	22.5	28.4
1130	20.5	25.8
1200	19.1	21.2		
