"DATE_WV","TIME_WV","OBS_WIND_WV","OBS_GUST_WV","OBS_WDIR_WV","OBS_PSFC_WV","MODEL_WIND_WV","MODEL_GUST_WV","MODEL_WDIR_WV","MODEL_PSFC_WV"
2018.000000,0,18.2,23.1,302,999.3,25.2943,22.5,308.722,997.602
2018.000000,1,19.1,26.3,292,998.5,27.0555,27.0956,305.648,996.05
2018.000000,2,21.6,28.6,280,996.1,26.3182,31.6778,305.038,995.678
2018.000000,3,22.9,29.7,279,994.5,26.7199,30.6252,293.64,993.502
2018.000000,4,24.5,33.6,273,993.1,30.8208,31.8505,290.125,993.403
2018.000000,5,23.7,30.3,272,993.1,29.5158,32.4623,282.599,992.847
2018.000000,6,24,32.9,268,992.3,31.2519,33.4138,280.221,989.608
2018.000000,7,23.2,31.6,263,991.8,35.6088,37.4617,273.679,988.104
2018.000000,8,22.4,29.8,260,991.8,33.2475,40.8706,276.804,988.185
2018.000000,9,22.8,28.9,250,991.2,32.6066,34.9743,271.439,987.338
2018.000000,10,22.6,28.9,243,990.4,31.6592,32.7032,264.402,986.96
2018.000000,11,22.2,28.7,247,990,31.0866,32.6676,256.082,988.062
2018.000000,12,21.4,27.9,235,990.2,31.0022,31.3254,248.3,986.199
2018.000000,13,23.6,30.6,220,989.4,29.0254,30.6914,246.319,985.901
2018.000000,14,22.8,29.2,214,990.6,27.7391,27.8951,234.723,986.662
2018.000000,15,22.5,30.8,210,991.7,29.688,31.5068,217.728,987.047
2018.000000,16,23,30.7,204,992.8,30.331,32.5965,206.39,987.249
2018.000000,17,21.3,26.6,201,993.8,29.8278,30.785,205.459,988.923
2018.000000,18,21.9,29.6,194,994.4,30.51,31.9313,204.82,988.784
2018.000000,19,21.4,28.2,186,995.1,29.0536,29.307,197.108,991.207
2018.000000,20,21.2,27.6,188,996.1,30.0483,30.4917,192.523,991.784
