"DATE_WV","TIME_WV","OBS_WIND_WV","OBS_GUST_WV","OBS_WDIR_WV","OBS_PSFC_WV","MODEL_WIND_WV","MODEL_GUST_WV","MODEL_WDIR_WV","MODEL_PSFC_WV"
91418.000000,0,17.183,26.2757,40,992.2,32.0785,26.2,64.6926,989.29
91418.000000,100,19.2853,26.5789,66,990.7,21.967,26.8702,69.3755,988.59
91418.000000,200,17.183,27.278,65,989.7,25.0855,25.0978,77.1479,988.579
91418.000000,300,16.8849,24.4767,68,991,23.4266,25.1131,83.1623,988.067
91418.000000,400,14.685,21.1819,88,991.6,21.66,23.5785,92.9677,988.817
91418.000000,500,14.8854,32.1713,96,9999,23.1961,23.8719,99.5886,989.327
91418.000000,600,21.3824,32.5722,99,991,22.8226,24.0342,103.426,991.351
91418.000000,700,24.0809,31.0713,106,991.7,23.3528,23.8079,108.628,989.775
91418.000000,800,23.7776,31.6727,103,993.6,20.1954,23.2572,108.114,990.269
91418.000000,900,23.7776,31.4722,112,995.3,22.5199,22.9498,108.955,991.278
91418.000000,1000,22.1791,30.0741,117,997.4,20.3644,22.333,109.783,993.82
91418.000000,1100,19.2853,24.379,118,999.6,17.9226,23.7663,118.927,997.146
91418.000000,1200,16.2835,21.881,123,1001,21.9463,22.2425,122.118,998.451
91418.000000,1300,21.4801,27.0775,125,1001.1,22.4671,27.3875,120.278,1001.43
91418.000000,1400,17.183,27.8742,134,1003.4,17.4097,24.5039,123.518,1002.46
91418.000000,1500,16.0882,23.7776,134,1004.5,22.999,23.1956,134.586,1004.07
91418.000000,1600,16.5868,22.58,120,1005.5,21.1049,22.2316,122.491,1005.67
91418.000000,1700,17.9849,22.7805,119,1005.6,18.8587,20.7595,119.387,1006.02
91418.000000,1800,18.4834,22.4824,124,1005.6,17.9286,18.4159,119.07,1006.29
91418.000000,1900,17.6867,20.6834,126,1006.5,16.085,17.474,115.855,1005.87
91418.000000,2000,17.4863,21.3824,125,1007.2,16.3081,17.3391,114.221,1005.59
