"DATE_WV","TIME_WV","OBS_WIND_WV","OBS_GUST_WV","OBS_WDIR_WV","OBS_PSFC_WV","MODEL_WIND_WV","MODEL_GUST_WV","MODEL_WDIR_WV","MODEL_PSFC_WV"
2018.000000,1,32.5,39.4,68,987.2,39.8446,38.2,73.4009,985.954
2018.000000,2,31,37.6,76,986.4,36.8667,38.3161,76.6713,984.46
2018.000000,3,32.6,39.7,81,988.5,33.5742,36.9392,83.4287,986.013
2018.000000,4,30.6,35.9,94,989,31.9533,33.6384,92.8355,986.535
2018.000000,5,32,38.4,108,989.5,31.7705,31.9549,103.627,988.087
2018.000000,6,33.9,40.5,106,990.1,30.502,31.9715,109.752,989.725
2018.000000,7,30.9,35.1,113,991.6,30.0584,31.0246,112.107,991.382
2018.000000,8,33,36.3,116,993.9,30.8378,31.685,116.168,989.858
2018.000000,9,27,33.8,122,995.7,31.5635,32.4139,115.809,991.888
2018.000000,10,25.4,28.8,121,997.9,30.497,31.3752,116.041,992.394
2018.000000,11,24.7,26.9,124,999.8,29.3079,29.6513,114.83,993.721
2018.000000,12,21,23.2,123,1000.8,27.9991,31.0762,123.577,996.433
2018.000000,13,26.6,31.4,123,1001.2,28.3813,28.7259,128.25,999.806
2018.000000,14,22,25.5,133,1003.6,22.1719,28.0876,128.111,1001.14
2018.000000,15,21.3,26.3,134,1004.5,19.6309,20.1834,132.47,1002.98
2018.000000,16,20.5,25.8,125,1005.6,22.8013,24.4108,131.16,1004.24
2018.000000,17,21.5,23.8,115,1005.4,22.3236,22.9746,126.236,1005.93
2018.000000,18,20.8,23.7,117,1005.8,20.9731,22.1798,124.842,1006.53
2018.000000,19,25.3,28.5,127,1006.6,20.0385,20.4285,124.534,1006.53
2018.000000,20,21.6,25.8,134,1006.8,19.6563,19.8515,122.29,1007.33
