"HWRF_WIND","HWRF_WDIR","HWRF_PSFC"
25.2943,308.746,997.578
24.6808,301.288,994.959
24.859,304.199,995.344
26.0444,295.727,993.637
27.002,288.262,993.378
26.4733,282.512,992.661
28.8694,284.369,989.482
29.8414,275.238,986.369
29.0511,271.63,988.732
29.6757,265.089,987.127
29.3738,260.835,986.882
28.0039,255.597,988.206
32.8786,241.485,991.54
29.4055,232.035,982.097
30.2242,223.513,984.818
29.6869,212.572,985.335
28.5889,207.879,987.112
27.7964,206.705,988.537
28.2997,202.588,989.468
27.2476,196.567,991.004
26.8742,190.131,991.576
