"HWRF_WIND_WB","HWRF_WDIR_WB","HWRF_PSFC_WB"
26.3127,347.759,993.498
26.3546,350.154,993.096
27.7083,347.55,988.933
28.7772,340.943,984.725
28.3244,340.425,981.788
30.4456,327.692,976.999
23.8844,347.731,974.083
32.4974,339.865,970.004
34.0186,333.399,962.883
28.3974,346.728,960.033
20.6944,357.493,957.26
13.674,1.08693,955.772
25.3989,176.388,964.16
29.7927,148.32,960.801
28.2995,138.053,969.513
32.1419,139.884,974.395
32.1527,140.012,980.571
29.6615,142.19,983.94
27.3676,142.952,985.86
28.023,145.711,987.79
28.1071,144.115,989.356
