"HWRF_WIND","HWRF_WDIR","HWRF_PSFC"
32.0785,64.0999,989.198
29.3218,67.6242,989.008
30.0901,73.8582,987.965
29.99,82.3414,987.08
30.3182,92.2088,988.216
30.2529,97.9543,988.992
23.4822,106.883,989.595
26.3952,109.261,989.693
27.0898,106.427,990.579
26.4143,110.151,991.638
25.024,107.806,994.039
23.6245,113.858,996.606
28.5314,125.403,1000.4
19.5601,123.287,1002.09
17.4269,124.672,1003.03
18.1558,126.505,1003.21
18.4514,118.944,1005.63
17.0475,117.721,1006.45
16.3803,118.044,1006.19
16.0747,116.175,1006.76
15.8404,114.993,1006.46
