"HWRF_WIND","HWRF_WDIR","HWRF_PSFC"
39.8446,72.7254,985.938
37.3337,76.0699,985.405
34.8085,84.1037,985.432
34.0733,95.6529,985.727
33.1469,103.112,987.566
32.5322,109.893,989.184
33.5888,113.09,989.613
32.0365,118.859,990.693
31.9073,115.66,991.551
31.2802,117.728,992.681
28.7357,115.064,995.125
26.9107,124.026,997.525
27.6905,131.025,1001.31
21.958,131.65,1003.08
21.3336,134.752,1003.63
23.2954,128.401,1004.1
21.7942,124.461,1006.19
20.5255,124.717,1006.92
19.8262,124.415,1006.62
19.5702,122.274,1007.15
18.6385,122.025,1006.81
