"HWRF_WIND","HWRF_WDIR","HWRF_PSFC"
16.0118,345.581,996.185
17.3276,351.4,996.516
17.1064,350.262,993.337
17.4701,342.043,989.72
19.6268,344.479,987.344
18.5306,340.409,983.653
18.1668,353.262,983.095
20.5094,343.085,979.466
22.2805,345.378,973.786
23.2693,354.215,969.677
22.9074,355.38,967.69
21.1616,1.85199,965.466
21.856,86.6232,960.56
22.2297,87.8292,957.378
21.8492,97.7727,966.341
24.8111,108.823,969.904
24.0178,119.562,976.252
22.0948,123.635,979.973
20.9939,125.509,982.136
20.4354,130.662,984.18
21.515,132.124,985.672
