"DATE_WV","TIME_WV","OBS_WIND_WV","OBS_GUST_WV","OBS_WDIR_WV","OBS_PSFC_WV","MODEL_WIND_WV","MODEL_GUST_WV","MODEL_WDIR_WV","MODEL_PSFC_WV"
91418.000000,0,14.0887,22.7805,330,999,22.0956,0,348.533,995.012
91418.000000,100,12.2897,17.6867,331,997.8,17.7634,22.1158,332.322,994.274
91418.000000,200,14.7878,25.479,330,995.5,18.4548,23.3245,332.333,991.639
91418.000000,300,19.1825,27.1752,332,992.1,20.0211,20.1141,332.284,987.062
91418.000000,400,19.6811,29.6732,331,989.8,21.4289,21.9036,331.59,984.215
91418.000000,500,17.8821,25.8799,324,986.7,23.8731,23.9393,319.896,979.086
91418.000000,600,18.982,27.8742,331,983.9,22.1281,29.701,333.909,974.621
91418.000000,700,19.1825,29.8737,324,980.9,25.6399,28.4358,335.061,974.581
91418.000000,800,19.0848,27.6738,318,977,22.4847,30.5146,347.782,973.026
91418.000000,900,20.2824,30.6755,322,972.7,22.6474,32.469,342.243,966.987
91418.000000,1000,25.1757,38.7659,315,962.6,21.3896,31.764,346.758,959.073
91418.000000,1100,4.4975,8.49128,6,959.3,19.0756,26.3187,27.3584,960.05
91418.000000,1200,28.5733,33.4717,77,966.7,17.0444,31.281,61.9501,956.627
91418.000000,1300,24.6771,28.4756,75,974.7,15.8558,17.5694,137.024,958.518
91418.000000,1400,26.4761,31.8731,95,974.8,26.037,26.3874,127.651,973.007
91418.000000,1500,23.2791,32.3717,121,978.2,26.2044,29.0336,121.519,977.649
91418.000000,1600,22.4824,25.9776,131,983,27.9361,31.9639,124.28,982.556
91418.000000,1700,21.5829,26.178,137,985.4,28.4434,35.0131,131.915,984.404
91418.000000,1800,23.7776,30.3723,142,987.8,26.3752,33.317,128.114,985.94
91418.000000,1900,25.2785,32.5722,150,988.6,21.7041,30.5724,141.176,987.837
91418.000000,2000,24.4767,30.1718,147,990.7,25.1511,31.6033,128.909,988.341
