"DATE_WV","TIME_WV","OBS_WIND_WV","OBS_GUST_WV","OBS_WDIR_WV","OBS_PSFC_WV","MODEL_WIND_WV","MODEL_GUST_WV","MODEL_WDIR_WV","MODEL_PSFC_WV"
91418.000000,0,14.0887,22.7805,330,999,22.277,0,347.987,995.064
91418.000000,100,12.2897,17.6867,331,997.8,17.5293,18.3262,333.256,993.379
91418.000000,200,14.7878,25.479,330,995.5,18.0671,18.3442,331.954,991.425
91418.000000,300,19.1825,27.1752,332,992.1,19.4581,19.5469,332.167,986.99
91418.000000,400,19.6811,29.6732,331,989.8,20.7331,21.0154,331.279,984.304
91418.000000,500,17.8821,25.8799,324,986.7,23.5906,23.8904,319.316,980.68
91418.000000,600,18.982,27.8742,331,983.9,23.3059,29.0413,328.822,973.746
91418.000000,700,19.1825,29.8737,324,980.9,24.8057,27.6879,334.392,973.751
91418.000000,800,19.0848,27.6738,318,977,20.3981,30.0253,349.684,972.088
91418.000000,900,20.2824,30.6755,322,972.7,18.7277,33.4667,341.766,969.025
91418.000000,1000,25.1757,38.7659,315,962.6,19.2649,36.7369,347.416,963.516
91418.000000,1100,4.4975,8.49128,6,959.3,20.0778,21.4569,22.9612,958.747
91418.000000,1200,28.5733,33.4717,77,966.7,17.2231,17.9743,58.5217,958.059
91418.000000,1300,24.6771,28.4756,75,974.7,14.712,17.9235,141.531,956.803
91418.000000,1400,26.4761,31.8731,95,974.8,23.3685,26.4372,125.922,971.602
91418.000000,1500,23.2791,32.3717,121,978.2,26.4914,28.3121,122.986,977.413
91418.000000,1600,22.4824,25.9776,131,983,28.6681,31.5039,123.217,983.316
91418.000000,1700,21.5829,26.178,137,985.4,29.6964,33.4171,131.895,986.861
91418.000000,1800,23.7776,30.3723,142,987.8,28.4842,33.6641,127.47,985.437
91418.000000,1900,25.2785,32.5722,150,988.6,24.1781,31.4886,140.006,987.172
91418.000000,2000,24.4767,30.1718,147,990.7,26.4292,28.1396,129.559,987.394
