"DATE_WV","TIME_WV","OBS_WIND_WV","OBS_GUST_WV","OBS_WDIR_WV","OBS_PSFC_WV","MODEL_WIND_WV","MODEL_GUST_WV","MODEL_WDIR_WV","MODEL_PSFC_WV"
91418.000000,800,19.0848,27.6738,318,977,20.3981,30.0253,349.684,972.088
91418.000000,806,17.9849,30.8708,319,976.9,24.8038,30.0367,332.954,971.938
91418.000000,812,19.4806,30.0741,316,976.6,21.6224,29.5978,338.084,970.807
91418.000000,818,19.5834,27.3756,322,976,26.5564,27.3073,334.737,972.412
91418.000000,824,18.982,26.4761,317,975.3,19.7899,27.4179,329.91,971.814
91418.000000,830,21.1819,30.9736,318,975,29.1495,32.7218,330.778,969.733
91418.000000,836,22.3796,29.5756,317,974.1,25.1877,29.2706,336.529,967.597
91418.000000,842,21.881,28.8765,318,973.2,27.458,29.5939,326.53,969.643
91418.000000,848,21.7833,32.9731,317,973.1,19.3054,32.3784,346.088,971.828
91418.000000,854,21.9786,33.2712,321,973,21.3592,33.5758,339.479,969.219
91418.000000,900,20.2824,30.6755,322,972.7,18.9507,31.7138,341.968,968.643
91418.000000,906,21.9786,30.0741,320,971.3,32.4527,32.8068,339.541,966.166
91418.000000,912,23.68,32.1713,316,970.8,16.5861,32.5944,353.606,968.79
91418.000000,918,20.9815,32.4694,324,970.1,27.3434,28.5751,332.962,964.618
91418.000000,924,22.1791,32.6698,320,969.4,24.9021,28.5139,332.665,961.565
91418.000000,930,22.1791,35.4711,320,968.3,19.1652,27.701,327.006,967.623
91418.000000,936,26.9747,35.2707,317,967.2,28.5851,32.2411,325.348,964.346
91418.000000,942,23.8804,33.9703,318,966.7,26.6526,29.5914,325.736,963.218
91418.000000,948,24.7799,34.7721,319,965.6,27.9169,28.0727,325.55,958.93
91418.000000,954,26.4761,37.7687,316,964.7,34.7893,35.2549,322.361,960.078
91418.000000,1000,25.1757,38.7659,315,962.6,24.1866,35.5198,348.696,959.891
91418.000000,1006,26.178,33.9703,318,961.5,21.7805,21.7805,343.723,958.472
91418.000000,1012,25.479,35.4711,328,961,21.3529,21.4171,353.322,958.744
91418.000000,1018,26.2757,34.3712,334,960.8,24.0746,25.1015,350.321,963.001
91418.000000,1024,22.2819,34.1707,342,961.7,25.255,25.3062,355.704,956.755
91418.000000,1030,24.8776,30.8708,331,961,25.5444,25.5444,357.153,959.577
91418.000000,1036,22.0814,29.3751,348,959.2,21.0919,21.2475,351.087,959.473
91418.000000,1042,18.982,27.6738,347,960.2,23.3867,23.8131,13.1323,958.8
91418.000000,1048,12.1869,24.2814,342,959.3,17.9932,17.9932,356.41,954.876
91418.000000,1054,10.2903,14.2892,10,959.4,15.5851,15.7771,15.7482,955.662
91418.000000,1100,4.4975,8.49128,6,959.3,21.7647,22.2085,19.2703,958.413
91418.000000,1106,8.8922,10.1926,64,959.8,22.007,22.0378,27.3353,957.8
91418.000000,1112,14.9882,16.2835,78,960.4,18.4141,18.734,25.1277,958.029
91418.000000,1118,15.8877,18.982,55,959.8,23.1227,23.1247,26.0711,958.367
91418.000000,1124,12.8911,15.0859,94,960.7,20.2995,20.8221,19.5521,956.38
91418.000000,1130,16.7872,21.1819,82,961.5,17.45,17.8562,37.3,957.203
91418.000000,1136,22.0814,25.3762,84,962.9,15.6761,16.1716,34.925,958.702
91418.000000,1142,24.4767,28.7737,76,964.1,13.6401,13.7972,49.2147,955.76
91418.000000,1148,24.5795,30.1718,76,964.9,14.3684,15.088,48.8463,955.047
91418.000000,1154,26.178,30.7732,76,966,14.8429,15.7092,39.6148,956.608
91418.000000,1200,28.5733,33.4717,77,966.7,11.7812,12.047,46.9653,953.937
91418.000000,1206,26.4761,31.3746,82,968.1,9.91835,10.2869,49.7111,959.44
91418.000000,1212,26.3785,30.4751,81,969.3,8.39425,8.52399,65.1581,957.064
91418.000000,1218,26.3785,31.0713,79,970.5,8.1779,8.55288,72.7234,958.058
91418.000000,1224,26.7743,33.2712,76,971.1,5.59578,6.79647,71.3623,957.075
91418.000000,1230,26.3785,31.6727,75,971.9,7.92013,8.43612,123.835,954.121
91418.000000,1236,24.8776,31.3746,76,972.5,7.66417,7.97679,132.009,953.12
91418.000000,1242,26.178,31.575,76,973.3,8.97,9.05149,138.842,956.505
91418.000000,1248,26.2757,30.1718,76,973.8,12.4937,13.2696,125.389,954.933
91418.000000,1254,24.6771,29.9765,77,974.3,13.5287,14.0561,127.997,955.025
91418.000000,1300,24.6771,28.4756,75,974.7,12.6607,13.0825,132.486,954.41
