DATE_CM,TIME_CM,OBS_WIND_CM,OBS_GUST_CM,OBS_WDIR_CM,OBS_PSFC_CM,MODEL_WIND_CM,MODEL_GUST_CM,MODEL_WDIR_CM,MODEL_PSFC_CM
20121028,1200,12.4902,17.4863,360,987.6,14.8591,17.5,355,986.697
20121028,1230,11.5907,18.982,360,986.7,16.3436,17.3825,351.557,987.962
20121028,1300,12.8911,18.6839,357,984.6,16.3436,17.3825,351.557,987.962
20121028,1330,11.6884,17.4863,357,983.5,16.3436,17.3825,351.557,987.962
20121028,1400,11.1898,15.8877,355,982.5,17.3384,17.4396,341.523,985.074
20121028,1430,9999,9999,9999,9999,18.475,18.475,341.407,983.907
20121028,1500,12.3874,18.0825,357,980,18.6312,18.6817,340.676,982.467
20121028,1530,13.3897,18.7816,358,978.1,20.624,20.624,344.524,980.134
20121028,1600,13.0864,20.2824,354,976.5,21.2054,21.2328,341.711,977.697
20121028,1630,12.6907,21.0843,349,974.5,21.4694,21.5478,342.353,976.264
20121028,1700,11.2926,17.0854,346,972.9,22.5349,22.8348,339.682,974.65
20121028,1730,15.0859,19.6811,341,970.7,22.6455,22.9823,340.137,971.787
20121028,1800,16.3863,21.9786,338,968,21.4783,23.169,346.007,968.226
20121028,1830,17.4863,24.2814,340,966,22.9559,22.9559,343.991,965.813
20121028,1900,17.5839,24.0809,336,964.4,22.2559,23.4091,345.28,963.432
20121028,1930,16.8849,22.58,334,962.7,23.1169,23.6867,337.215,959.501
20121028,2000,20.1848,27.6738,329,959.2,22.8667,23.2473,338.986,957.032
20121028,2030,22.9809,29.5756,324,957.1,22.6868,23.2473,327.984,954.008
20121028,2100,23.7776,29.1746,322,955.5,21.6512,23.0283,322.204,950.943
20121028,2130,21.881,27.8742,319,955.7,24.4308,24.8263,320.167,948.414
20121028,2200,21.881,26.9747,314,954.3,25.9136,26.6342,305.763,946.596
20121028,2230,20.6834,27.5761,302,953.8,26.4553,27.1085,300.107,945.877
20121028,2300,21.881,26.178,288,954.8,25.4502,27.1012,289.402,945.836
20121028,2330,23.8804,28.9742,275,954.3,25.7333,27.1012,283.572,945.855
20121030,0,26.6766,33.5693,285,953.8,25.5421,28.6915,276.289,947.883
20121030,30,24.9804,31.7703,272,955.2,28.1446,32.0659,272.018,949.831
20121030,100,22.9809,28.3779,262,957.4,28.5176,32.0659,252.061,952.054
20121030,130,21.4801,26.3785,247,960.8,27.8896,28.8314,236.2,954.971
20121030,200,16.0882,22.6828,223,964.4,28.2366,28.4099,224.685,957.878
20121030,230,16.484,22.8781,206,966.8,28.0415,28.4099,216.27,960.133
20121030,300,15.6873,21.7833,206,969.2,27.8894,28.0457,207.936,962.792
20121030,330,14.3869,20.2824,199,971.7,28.7211,29.3276,201.006,964.84
20121030,400,14.7878,23.68,203,973.6,27.5765,29.3276,199.609,967.069
20121030,430,11.9916,17.7844,199,975.3,27.2715,27.5683,199.773,969.155
20121030,500,13.3897,19.9843,197,976.9,26.1241,27.2696,197.984,971.527
20121030,530,12.6907,17.8821,199,978.3,23.6733,26.1925,196.461,973.986
20121030,600,10.4907,15.3892,201,979.7,21.2266,23.6733,194.9,977.641
20121030,630,11.5907,17.0854,208,980.7,18.8938,21.2235,194.734,979.919
20121030,700,11.1898,16.3863,206,981.5,17.8545,21.2235,194.385,979.829
20121030,730,10.1926,15.3892,196,982.3,17.4227,17.9108,192.726,980
20121030,800,7.79224,10.7889,193,982.9,16.8933,17.531,190.123,981.485
20121030,830,7.29366,9.09266,205,983.6,16.5038,17.531,188.806,982.207
20121030,900,6.89274,10.5884,203,984.4,16.5112,16.5137,188.65,982.896
