DATE_CM,TIME_CM,OBS_WIND_CM,OBS_GUST_CM,OBS_WDIR_CM,OBS_PSFC_CM,MODEL_WIND_CM,MODEL_GUST_CM,MODEL_WDIR_CM,MODEL_PSFC_CM
20121028,1200,9.49358,14.1864,335,992.1,8.32129,12.2,345.2,991.899
20121028,1230,9.69404,15.1887,331,991,11.3363,11.4032,353.472,991.531
20121028,1300,11.9916,17.9849,316,989,11.3363,11.4032,353.472,991.531
20121028,1330,11.2926,16.0882,326,988.6,11.3363,11.4032,353.472,991.531
20121028,1400,12.5879,17.5839,329,987.1,12.7376,12.7386,344.842,989.583
20121028,1430,9999,9999,9999,9999,13.4495,13.4499,347.478,989.416
20121028,1500,11.8888,15.8877,342,985,14.4928,14.4928,347.51,988.543
20121028,1530,10.9893,15.6873,327,983.7,14.559,15.2688,348.653,986.813
20121028,1600,12.9888,15.9854,340,982.5,14.1509,15.2688,349.713,984.705
20121028,1630,12.8911,17.7844,339,980.5,14.8904,14.9319,345.059,983.45
20121028,1700,13.0864,17.6867,335,978.5,15.5338,15.596,342.461,982.316
20121028,1730,12.1869,16.8849,332,976.9,16.0345,16.0345,343.146,978.972
20121028,1800,11.7912,15.5845,337,975.4,16.3837,16.5172,347.34,975.57
20121028,1830,11.7912,17.3835,328,973.4,15.44,16.4261,350.897,974.114
20121028,1900,12.7883,17.9849,328,971.2,16.8404,16.8404,356.058,972.222
20121028,1930,13.9859,17.5839,325,969.2,17.2419,17.3075,354.053,968.81
20121028,2000,13.5902,18.982,324,967.4,17.9735,18.0111,355.83,966.183
20121028,2030,15.1887,20.4829,321,965.1,19.0912,19.6335,354.674,963.997
20121028,2100,13.6878,21.9786,324,963.3,20.0082,20.0082,355.256,961.493
20121028,2130,13.8883,18.6839,322,961.5,20.1096,20.2616,349.253,958.709
20121028,2200,14.8854,20.1848,319,959.6,19.4699,20.2616,343.884,955.629
20121028,2230,13.2869,18.8844,326,958.6,17.8702,19.5086,342.651,953.47
20121028,2300,13.2869,17.4863,325,957.1,15.1951,17.882,345.713,951.661
20121028,2330,12.6907,16.8849,321,955.5,14.9929,17.882,345.235,951.127
20121030,0,11.3902,16.1859,329,954.8,13.3282,14.9877,328.269,950.907
20121030,30,12.6907,22.4824,345,955.2,11.6153,13.3634,317.213,947.731
20121030,100,10.0898,18.1853,358,954.9,8.91829,13.3634,308.543,944.965
20121030,130,7.0932,10.1926,319,954.2,7.46656,8.91291,284.768,944.636
20121030,200,3.4952,6.09604,268,954.3,7.81894,7.81894,262.147,944.169
20121030,230,4.69796,7.89504,217,955.4,7.00114,7.91476,237.977,943.321
20121030,300,5.59746,10.2903,199,958.2,10.018,10.018,207.928,947.4
20121030,330,7.0932,10.9893,146,961.6,13.3487,13.3504,195.241,951.2
20121030,400,9.49358,15.5845,164,964.2,15.0046,15.3601,184.009,953.4
20121030,430,9.88936,16.6844,166,967.2,19.2415,19.2415,174.782,960
20121030,500,10.1926,19.6811,163,969.9,20.1032,20.1715,174.938,963
20121030,530,10.0898,16.1859,169,971.9,19.6828,20.2673,177.436,966.5
20121030,600,9.39078,14.4897,167,973.9,16.2797,19.6956,185.614,970.3
20121030,630,9.19032,15.2864,164,975.7,14.5701,16.2733,180.151,972.595
20121030,700,9.09266,15.7849,160,977.2,14.6041,16.2733,174.162,973.637
20121030,730,6.89274,14.8854,170,978.6,14.1974,14.762,173.692,975.109
20121030,800,8.79454,12.7883,171,979.6,14.0799,14.4372,170.409,976.482
20121030,830,7.89504,13.0864,168,980.8,12.513,14.4372,167.355,977.943
20121030,900,7.0932,10.5884,172,981.9,11.5562,12.513,165.991,979.323
