DATE_RR,TIME_RR,OBS_WIND_RR,OBS_GUST_RR,OBS_WDIR,OBS_PSFC_RR,MODEL_WIND_RR,MODEL_GUST_RR,MODEL_WDIR_RR,MODEL_PSFC_RR
20121028,1200,17.8821,22.8781,18,991.2,17.3681,22.6,28.9936,992.115
20121028,1300,16.1859,20.5806,19,988.9,15.0215,17.239,26.8084,992.679
20121028,1400,18.7816,24.4767,35,986.8,16.8376,16.8376,30.0986,989.512
20121028,1500,19.1825,23.7776,25,984.3,17.2059,17.5694,28.6098,987.775
20121028,1600,18.7816,21.7833,22,981.8,17.359,17.5545,29.8032,983.506
20121028,1700,19.9843,25.1757,23,978.1,18.0993,18.0994,34.0769,980.764
20121028,1800,20.9815,25.8799,29,974.2,18.5546,19.5024,34.1218,976.17
20121028,1900,23.0786,30.6755,34,970.4,23.069,23.069,43.2733,972.655
20121028,2000,20.082,27.278,37,967.2,26.8273,26.8661,44.6318,966.874
20121028,2100,20.8838,27.5761,34,964,24.323,26.4868,51.7836,963.068
20121028,2200,22.8781,32.6698,69,962.5,18.1263,24.3205,60.9668,959.915
20121028,2300,25.1757,33.0708,80,963.2,19.7645,29.5,71.5458,961.232
20121030,0,27.1752,35.0702,90,965.7,18.7549,22.4178,79.933,963.212
20121030,100,21.6805,27.5761,104,970.8,22.9699,25.0737,102.762,966.765
20121030,200,23.5772,31.0713,123,974.7,23.3049,26.2274,116.555,970.342
20121030,300,20.5806,25.5766,128,976.8,22.9535,23.0621,133.274,973.453
20121030,400,21.881,26.3785,138,979.2,24.2424,26.8456,150.15,977.345
20121030,500,21.4801,25.9776,140,981.5,22.2072,26.1915,148.306,978.678
20121030,600,18.6839,22.4824,142,983.1,17.7658,22.8854,147.342,983.516
20121030,700,16.1859,19.8815,144,984.4,17.5631,19.2086,150.475,981.251
20121030,800,16.3863,21.2796,148,985,15.0282,17.479,150.161,984.397
20121030,900,14.5873,19.1825,145,986,15.3789,17.411,152.733,985.462
