DATE_SH,TIME_SH,OBS_WIND_SH,OBS_GUST_SH,OBS_WDIR_SH,OBS_PSFC_SH,MODEL_WIND_SH,MODEL_GUST_SH,MODEL_WDIR_SH,MODEL_PSFC_SH
20121028,1200,8.98986,15.6873,29,990.9,18.1408,15.5,27.5289,990.745
20121028,1230,10.6912,17.9849,30,990,16.7916,17.7092,25.2124,991.706
20121028,1300,9999,9999,9999,9999,16.7916,17.7092,25.2124,991.706
20121028,1330,9999,9999,9999,9999,16.7916,17.7092,25.2124,991.706
20121028,1400,9999,9999,9999,9999,18.6505,18.6525,29.4324,987.879
20121028,1430,9999,9999,9999,9999,19.3368,19.3373,30.903,986.859
20121028,1500,11.3645,16.6896,44,984.5,19.5008,19.6447,30.3322,986.186
20121028,1530,10.059,15.5485,44,983.3,19.6914,19.9023,30.8755,984.031
20121028,1600,11.7089,18.2162,41,981.5,19.6129,19.9023,31.9414,982.024
20121028,1630,12.3617,19.6605,43,979.8,20.9026,20.904,31.9258,980.393
20121028,1700,12.0019,19.6913,39,977.8,21.3445,21.3477,31.7676,978.464
20121028,1730,13.1121,19.4652,40,975.9,21.8905,21.8905,34.1269,976.241
20121028,1800,12.9477,21.0483,44,973.8,22.6597,22.676,31.8012,973.974
20121028,1830,15.8929,22.5749,47,971.8,22.627,23.2544,33.4917,972.372
20121028,1900,15.6256,24.194,47,970.4,21.8596,23.2544,33.8645,969.651
20121028,1930,16.1499,25.186,47,968.5,25.7689,25.7818,36.0013,966.129
20121028,2000,15.8826,22.5492,48,966.5,26.5416,26.6231,39.9051,963.226
20121028,2030,16.0882,21.4441,47,964.8,25.3585,26.6231,47.84,961.379
20121028,2100,13.4565,18.9101,47,963.3,23.8828,25.3628,57.4408,960.186
20121028,2130,15.0859,23.0786,71,962.5,27.402,28.6033,66.1406,958.464
20121028,2200,18.0825,25.9776,76,961.7,25.9978,28.6033,65.9698,957.067
20121028,2230,18.6839,27.5761,81,961.2,25.2811,25.9972,68.4739,956.191
20121028,2300,15.3892,20.781,99,962.2,23.4089,25.282,78.527,958.5
20121028,2330,19.5834,27.7766,104,964.1,24.0729,26.2123,87.6794,962.2
