"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC","DFLES_GUST","DFLES_WSPD","DFLES_WDIR","DFLES_PSFC"
20140808.000000,0,6.1,4.9,43,1015.2,0,4.39543,54.7118,1015.62,0,4.39543,54.7118,1015.59
20140808.000000,6,6,4.9,44,1015.1,5.10691,4.00607,53.3853,1014.08,5.50131,4.27441,53.7887,1014.01
20140808.000000,12,5.6,3.8,48,1015.1,6.60351,3.56693,21.7827,1028.17,7.05083,3.54543,5.86034,1029.93
20140808.000000,18,6.3,5,50,1015,5.30327,4.97394,47.2781,1010.53,5.51292,4.9622,41.7129,1008.98
20140808.000000,24,5.2,4.4,46,1015,5.0728,4.61051,44.3452,1014.26,5.1074,4.10234,36.7672,1014.42
20140808.000000,30,5.5,4.1,49,1014.9,5.6915,4.88784,56.4015,1016.24,5.92499,4.47516,61.475,1014.41
20140808.000000,36,6,4.8,38,1014.9,5.4313,4.82639,50.815,1016.76,5.4856,4.17541,51.3232,1017.48
20140808.000000,42,6.2,5.3,45,1014.9,5.12751,4.50672,45.7724,1012.95,4.75414,3.87689,49.6525,1012.74
20140808.000000,48,5.4,4.2,46,1014.9,4.88675,4.35363,48.6502,1016.75,4.94428,4.12911,45.8744,1015.13
20140808.000000,54,5.6,4.1,43,1014.8,4.36913,3.84326,38.5537,1016.73,4.15682,3.21803,27.3293,1015.83
20140808.000000,100,4.7,3.7,35,1014.7,3.96352,3.26012,38.2005,1014.24,3.47492,3.29477,33.9796,1016.97
20140808.000000,106,4.8,3.2,41,1014.8,3.44063,3.40942,41.4117,1015.63,3.28405,3.04251,25.2758,1016.63
20140808.000000,112,4.5,3.7,46,1014.8,3.62254,2.67834,26.8153,1015.49,3.65828,3.49158,21.8442,1016.53
20140808.000000,118,5.1,3.9,45,1014.8,3.07394,2.97837,37.0595,1014.7,3.76808,2.84082,33.7931,1015.97
20140808.000000,124,5.2,4.1,47,1014.7,3.37148,2.94203,35.0517,1016.73,3.48418,3.04372,31.092,1016.2
20140808.000000,130,6.6,5,42,1014.7,3.0959,3.00708,28.4481,1015.65,3.04624,1.31617,36.3405,1016.03
20140808.000000,136,6.1,5.2,47,1014.6,3.19292,2.53111,18.3651,1015.71,3.1193,2.23311,18.3449,1015.28
20140808.000000,142,6.2,4.6,48,1014.6,2.53755,2.40101,25.749,1015.72,2.34249,2.32591,358.046,1015.3
20140808.000000,148,6.1,5,44,1014.5,2.52264,2.48768,4.69135,1015.54,2.60344,2.47863,4.64006,1015.66
20140808.000000,154,6.5,4.8,39,1014.5,2.52693,2.087,357.888,1016.07,2.49009,2.21479,18.2343,1016.83
20140808.000000,200,6.1,4.5,47,1014.5,2.28383,2.28379,4.2325,1017.52,2.32205,2.32205,358.508,1014.97
20140808.000000,206,6.7,5,46,1014.5,2.58248,2.57443,348.148,1013.91,2.64186,2.64186,351.704,1015.61
20140808.000000,212,6.1,4.5,46,1014.5,2.72328,2.44213,340.688,1015.88,2.91289,2.05409,346.889,1015.6
20140808.000000,218,6.3,5.5,44,1014.5,2.46985,1.88856,322.31,1015.97,2.43536,2.41004,341.991,1015.77
20140808.000000,224,6.5,4.9,45,1014.5,2.04565,1.92046,331.819,1015.35,2.44012,1.67989,345.509,1016.51
20140808.000000,230,5.8,3.8,49,1014.5,1.95268,1.79351,331.638,1016.86,2.89445,2.8594,7.36011,1014.86
20140808.000000,236,5.3,4.3,47,1014.5,2.63958,2.63612,17.0621,1014.84,2.90312,2.82359,8.69472,1016.24
20140808.000000,242,5,3.8,35,1014.5,2.78435,2.14959,9.23248,1016.51,2.84099,2.47686,19.7406,1015.21
20140808.000000,248,4.8,3.6,38,1014.5,3.03762,3.02059,21.597,1015.77,2.88317,2.72394,14.6974,1015.88
20140808.000000,254,4.9,3.4,45,1014.5,3.2643,3.25239,15.9032,1016.26,2.73298,2.34176,3.35522,1015.65
20140808.000000,300,4.8,2.9,45,1014.6,3.45011,2.92088,10.7408,1015.57,2.55931,2.47033,19.7379,1016.02
20140808.000000,306,6.1,3.7,50,1014.7,2.93933,2.91213,26.8241,1017.27,2.47605,2.31461,23.3035,1015.99
20140808.000000,312,5.9,3.4,50,1014.7,3.01025,2.12882,25.3822,1016.41,3.59142,3.16938,27.4342,1015.58
20140808.000000,318,4.8,3.9,46,1014.7,2.42145,2.37477,19.7805,1017.03,3.17329,2.88408,29.1071,1016.6
20140808.000000,324,6.1,3.6,49,1014.7,2.49301,2.32076,16.6874,1017.83,2.886,2.51492,26.9563,1016.32
20140808.000000,330,4.9,2.9,43,1014.8,2.54423,2.45326,24.2434,1015.48,2.52954,2.51191,16.6515,1017.23
20140808.000000,336,5.6,3.6,56,1014.8,2.46243,1.80191,13.6821,1016,2.51303,1.89227,33.0546,1016.97
20140808.000000,342,5,2.4,59,1014.8,1.80928,1.79453,12.7863,1017.07,1.92386,1.43308,11.9722,1016.15
20140808.000000,348,5,3.2,43,1014.8,1.92688,1.89693,10.3364,1017.28,2.23266,2.22209,7.08157,1016.66
20140808.000000,354,4.3,2.7,44,1014.9,1.9207,1.88577,354.545,1016.79,2.23537,2.2158,5.85333,1016.28
