"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC","DFLES_GUST","DFLES_WSPD","DFLES_WDIR","DFLES_PSFC"
20140808.000000,0,6.1,4.9,236,9999,0,6.45647,35.8162,1033.8,0,6.45647,35.8162,1033.87
20140808.000000,6,5.8,4.6,234,9999,9.23546,2.85224,2.84531,1015.19,9.40669,3.52965,16.7021,1015.54
20140808.000000,12,5.6,4,234,9999,5.53549,4.20349,354.57,1012.42,5.33061,3.11044,345.998,1012.91
20140808.000000,18,6.3,5.3,228,9999,4.78456,4.74431,350.231,1009.5,3.82552,3.65712,347.243,1009.19
20140808.000000,24,7.1,5.8,223,9999,5.88169,5.18747,346.902,1011.64,5.19181,5.03229,347.782,1012.46
20140808.000000,30,7.3,6.2,217,9999,5.27136,3.88262,303.644,1010.33,5.17154,3.61235,307.876,1008.82
20140808.000000,36,7.3,6.4,227,9999,4.70687,3.76225,285.998,1010.32,4.33044,3.42539,285.195,1011.17
20140808.000000,42,6.6,5.4,232,9999,3.85977,2.72733,306.689,1010.19,3.614,3.02182,316.092,1010.32
20140808.000000,48,6.8,5.6,238,9999,3.10641,1.4858,280.256,1013.7,3.58494,1.70876,280.593,1015.35
20140808.000000,54,6.9,5.7,237,9999,1.7174,0.965408,305.968,1010.76,1.98936,0.452475,283.786,1013.04
20140808.000000,100,7.2,6.2,237,9999,1.1366,0.695343,234.867,1010.81,0.718943,0.409212,187.827,1011.95
20140808.000000,106,6.3,5.3,251,9999,1.75855,1.57204,225.725,1010.54,1.13265,0.721635,205.722,1011.97
20140808.000000,112,6.8,5.2,252,9999,1.65463,1.15576,140.283,1011.22,1.39782,1.18628,56.6772,1012.05
20140808.000000,118,6.1,5.2,242,9999,3.91431,3.91431,89.1792,1009.96,3.48209,3.48209,99.9373,1009.41
20140808.000000,124,5.3,4.7,249,9999,4.94258,4.90401,92.5414,1010.94,5.52678,5.45313,116.139,1010.68
20140808.000000,130,6.3,5.1,252,9999,6.02478,5.5825,106.747,1010.64,5.43989,3.38967,119.779,1011.85
20140808.000000,136,5.1,4.3,259,9999,6.3039,6.28687,105.601,1012.12,4.54365,4.54365,103.73,1011.97
20140808.000000,142,4.7,3.9,257,9999,6.30868,5.87406,81.3699,1011.73,6.84471,6.06087,114.717,1012.44
20140808.000000,148,5.4,4.5,248,9999,6.08842,5.21883,88.4042,1011.01,8.83241,8.70753,113.211,1011.24
20140808.000000,154,6.1,5.3,266,9999,7.12347,5.52487,108.708,1011.05,8.67998,7.89379,105.705,1011.36
20140808.000000,200,6.6,5,265,9999,9.14392,9.14392,114.818,1011.74,7.87474,6.45441,107.194,1011.36
20140808.000000,206,6.4,5.3,275,9999,9.21319,7.56879,101.453,1012.31,8.85526,8.85526,104.361,1011.71
20140808.000000,212,6.7,5.7,280,9999,11.2404,9.70804,97.1685,1011.67,9.40257,8.20325,101.126,1012.15
20140808.000000,218,7.1,6.5,273,9999,9.7149,8.23017,88.8099,1011.3,9.07996,7.87391,89.7353,1011.64
20140808.000000,224,7.3,6,271,9999,10.3265,7.21631,100.627,1012.47,10.2379,7.52936,87.9968,1012.59
20140808.000000,230,7.9,6.8,263,9999,8.81634,8.8046,94.4542,1011.98,9.4086,7.37548,98.0414,1011.9
20140808.000000,236,7.5,6.3,273,9999,8.78463,6.1818,102.021,1012.9,9.97873,8.60539,101.115,1012.12
20140808.000000,242,7,5.3,285,9999,9.82493,9.71534,108.771,1012.29,8.60164,7.46021,96.8768,1012.33
20140808.000000,248,7.5,6.4,275,9999,9.75306,8.08351,95.6991,1012.96,9.67262,6.85644,98.1756,1012.19
20140808.000000,254,8.6,7.9,272,9999,8.46396,6.32009,104.283,1012.24,8.11706,6.86987,115.054,1012.27
20140808.000000,300,7.7,6.3,270,9999,6.59806,6.59427,100.707,1012.63,7.38861,5.71972,97.6401,1012.57
20140808.000000,306,7.7,6.2,280,9999,6.71718,6.70031,110.196,1012.42,9.36152,7.50349,129.986,1012.41
20140808.000000,312,7.9,6.4,269,9999,9.80508,9.55594,97.7411,1012.3,9.47028,8.92995,109.861,1012.56
20140808.000000,318,7.1,5.7,265,9999,11.3368,8.53488,105.24,1012.84,8.89855,7.57972,92.8679,1012.76
20140808.000000,324,6.3,4.9,263,9999,8.49674,7.90249,77.5419,1012.69,7.55826,6.99141,104.888,1012.61
