"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,1800,7.59178,6.79508,77,9999,0,6.79422,97.4611,1016.55
20210828.000000,1900,4.29704,3.19708,75,9999,7.59888,7.54793,99.676,1015.08
20210828.000000,2000,4.19424,2.99662,85,9999,8.72008,7.83805,97.239,1014.83
20210828.000000,2100,8.98986,7.59178,97,9999,7.82827,7.52213,98.9672,1014.67
20210828.000000,2200,8.79454,6.79508,94,9999,7.55425,7.54764,96.7157,1014.43
20210828.000000,2300,10.7889,8.0955,98,9999,8.095,8.09355,92.3066,1014.96
20210828.000000,0,8.69174,7.59178,94,9999,9.36276,8.46391,92.1597,1015.39
20210828.000000,100,7.59178,5.89558,77,9999,8.90333,8.08175,89.0894,1014.16
20210828.000000,200,4.19424,3.29474,48,9999,8.51306,6.35762,73.9433,1014.69
20210828.000000,300,5.59746,4.69796,47,9999,6.68647,6.58089,68.4944,1014.93
20210828.000000,400,6.39416,5.19654,52,9999,7.30237,7.29852,58.5771,1014.38
20210828.000000,500,9.7917,6.89274,83,9999,7.47078,7.31452,57.8993,1013.86
20210828.000000,600,10.5884,7.89504,76,9999,8.22556,8.22556,57.2894,1012.25
20210828.000000,700,8.39362,6.89274,52,9999,9.86958,9.55033,57.4407,1012.42
20210828.000000,800,9.88936,8.0955,48,9999,9.97989,9.25378,63.8332,1012.37
20210828.000000,900,10.9893,9.19032,59,9999,11.333,10.6584,61.0389,1010.99
20210828.000000,1000,9.59124,7.69458,57,9999,12.0457,11.6548,64.8032,1010.23
20210828.000000,1100,12.5879,7.89504,128,9999,12.6805,11.5637,55.4326,1009.88
20210828.000000,1200,11.2926,6.99554,118,9999,13.5466,12.229,56.9612,1010.15
20210828.000000,1300,15.8877,13.0864,65,9999,14.3527,11.4114,60.6667,1010.34
20210828.000000,1400,14.9882,13.2869,77,9999,14.1327,13.33,71.979,1008.98
20210828.000000,1500,15.2864,11.8888,69,9999,18.048,16.7803,79.4141,1009.39
20210828.000000,1600,18.982,16.1859,106,9999,17.3822,13.9173,96.1041,1009.09
20210828.000000,1700,17.2858,14.0887,93,9999,17.0885,16.9079,91.1592,1007.88
20210828.000000,1800,17.0854,14.2892,90,9999,19.6591,17.2248,108.029,1007.3
20210828.000000,1900,19.8815,15.8877,101,9999,20.5394,20.1663,111.645,1006.31
20210828.000000,2000,25.479,18.1853,105,9999,22.3698,13.1526,111.395,1006.41
20210828.000000,2100,22.3796,18.5862,121,9999,24.5867,19.0939,132.926,1006.53
20210828.000000,2200,22.4824,18.0825,116,9999,21.61,20.9824,130.43,1006.21
20210828.000000,2300,25.0781,18.7816,123,9999,22.8675,19.6429,135.511,1006.58
20210830.000000,0,26.6766,19.6811,125,9999,21.9697,21.9174,129.635,1006.14
20210830.000000,100,29.4728,19.6811,127,9999,22.4918,22.4918,130.438,1004.72
20210830.000000,200,24.4767,19.3829,127,9999,23.5364,22.8004,131.916,1004.3
20210830.000000,300,27.0775,21.0843,133,9999,27.1213,24.9188,149.474,1004.93
20210830.000000,400,26.9747,18.3858,142,9999,27.1314,23.01,149.484,1005.39
20210830.000000,500,23.7776,19.7839,158,9999,25.3492,23.9196,152.553,1005.01
20210830.000000,600,23.8804,21.1819,159,9999,26.8111,24.0462,153.531,1006.05
20210830.000000,700,26.4761,20.082,167,9999,25.8802,21.7369,153.444,1005.22
20210830.000000,800,21.7833,15.9854,168,9999,26.0075,21.6321,173.699,1005.81
20210830.000000,900,23.4795,15.2864,166,9999,22.3534,19.8975,175.122,1005.75
20210830.000000,1000,16.3863,11.3902,172,9999,19.7625,18.2036,180.393,1005.97
20210830.000000,1100,22.3796,14.0887,189,9999,21.1947,19.6871,177.332,1006.81
20210830.000000,1200,15.5845,10.4907,177,9999,19.4873,17.5313,184.919,1007.45
20210830.000000,1300,13.4874,9.7917,195,9999,17.4092,16.3114,184.012,1007.2
20210830.000000,1400,13.6878,9.49358,205,9999,16.876,12.2012,210.865,1007.71
20210830.000000,1500,13.4874,8.0955,198,9999,15.5756,15.5756,189.779,1005.89
20210830.000000,1600,14.2892,11.5907,204,9999,16.7851,13.7872,198.287,1006.1
20210830.000000,1700,14.1864,9.7917,203,9999,15.433,15.2834,195.526,1006.75
