"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,1800,5.59746,3.598,89,1015.5,0,3.4515,70.7781,1015.46
20210828.000000,1900,9.29312,5.49466,64,1015.5,5.38995,4.90987,59.7876,1014.14
20210828.000000,2000,6.59462,5.09374,47,1014.5,5.92186,5.18933,67.667,1013.47
20210828.000000,2100,5.2942,4.3947,54,1014.3,5.18992,4.76929,88.2102,1013.09
20210828.000000,2200,6.1937,4.59516,56,1014,5.45057,5.45057,88.6333,1013.07
20210828.000000,2300,5.69512,4.59516,59,1014.2,5.60534,3.68136,91.2523,1013.72
20210828.000000,0,1.39808,1.09996,123,1014,5.34654,3.08328,81.6683,1014.32
20210828.000000,100,4.99608,4.29704,57,1014.1,3.52087,3.52087,73.1064,1013.53
20210828.000000,200,5.397,3.89612,57,1014.5,3.52166,3.12469,60.5425,1013.21
20210828.000000,300,3.4952,1.99946,43,1014.7,3.48392,3.41947,67.9871,1014.07
20210828.000000,400,5.99324,4.89328,67,1014.3,3.52391,3.36046,65.4177,1013.8
20210828.000000,500,4.19424,2.40038,26,1014.1,3.41437,3.20807,53.7433,1013.15
20210828.000000,600,2.99662,1.59854,9,1013.3,3.333,3.07395,38.0583,1011.72
20210828.000000,700,4.69796,2.29758,18,1012,4.24086,4.23456,24.3071,1011.72
20210828.000000,800,5.2942,3.39754,16,1011.4,4.45218,4.06435,35.8451,1011.86
20210828.000000,900,4.69796,3.19708,2,1010.5,5.23747,4.76357,32.4105,1010.23
20210828.000000,1000,5.59746,2.89896,13,1010.7,5.7996,5.76796,24.2234,1009.48
20210828.000000,1100,6.39416,4.79562,25,1010.6,6.64225,6.64225,19.9574,1009.59
20210828.000000,1200,6.79508,3.79846,12,1010.4,7.58404,7.16382,18.3505,1009.49
20210828.000000,1300,9.99216,5.89558,6,1009,7.89139,7.87707,9.98596,1009.27
20210828.000000,1400,10.6912,5.59746,4,1008.3,9.0244,8.99306,5.56384,1008.08
20210828.000000,1500,11.5907,7.196,353,1007.1,10.4035,10.3904,8.35017,1006.29
20210828.000000,1600,11.0921,6.1937,353,1005.6,11.2959,10.5457,5.55016,1005.19
20210828.000000,1700,13.9859,6.69228,350,1003.6,13.2399,13.2399,2.11888,1003.16
20210828.000000,1800,13.4874,9.49358,345,1001.1,14.9682,14.9491,359.406,999.823
20210828.000000,1900,19.3829,11.8888,345,998.4,18.1118,16.9788,348.638,996.659
20210828.000000,2000,18.1853,12.5879,341,996.5,19.7931,19.689,341.901,992.442
20210828.000000,2100,18.1853,10.2903,333,995,20.6287,20.2988,338.598,990.802
20210828.000000,2200,15.8877,9.69404,319,993.9,21.4977,20.9513,328.706,988.936
20210828.000000,2300,17.183,11.4879,306,993.3,20.0629,18.9643,317.258,990.358
20210830.000000,0,15.9854,8.39362,292,994.1,18.8678,18.2508,303.787,991.018
20210830.000000,100,17.8821,9.99216,268,994.9,21.6995,20.2951,286.155,991.532
20210830.000000,200,17.2858,8.79454,265,996.5,20.8573,18.4033,283.616,994.193
20210830.000000,300,14.2892,7.79224,265,998.3,17.3615,14.6073,273.502,996.735
20210830.000000,400,12.2897,6.59462,257,999.7,14.5306,13.0086,264.89,998.358
20210830.000000,500,11.8888,7.0932,249,1001.3,12.6475,11.6351,252.395,1000.3
20210830.000000,600,9.99216,6.09604,240,1002.5,11.9181,10.2651,246.832,1001.91
20210830.000000,700,13.0864,8.0955,229,1003,9.66266,8.28199,237.969,1003.62
20210830.000000,800,11.2926,6.79508,224,1003.5,8.52288,8.03087,234.433,1003.74
20210830.000000,900,9.99216,5.79278,228,1003.8,8.61448,8.61347,235.685,1003.91
20210830.000000,1000,10.5884,5.397,234,1004.5,7.59252,6.96886,237.359,1004.81
20210830.000000,1100,9.88936,5.69512,236,1005.7,6.24883,6.23222,251.727,1006.49
20210830.000000,1200,7.89504,4.99608,226,1006.4,7.4292,6.64418,258.702,1006.82
20210830.000000,1300,7.29366,4.4975,237,1006.9,6.50438,6.17379,255.024,1007.56
20210830.000000,1400,10.0898,6.79508,245,1007.1,7.0419,6.95494,252.518,1006.9
20210830.000000,1500,10.0898,5.99324,252,1007.5,8.21887,7.92523,257.992,1006.85
20210830.000000,1600,10.7889,7.49412,247,1007.7,8.67019,7.76766,263.806,1007.15
20210830.000000,1700,11.9916,5.89558,249,1007.6,8.41922,7.77394,257.722,1007.49
