"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,600,15.0859,11.4879,117,1010.3,0,14.7788,63.1133,1009.7
20210828.000000,606,14.8854,9.49358,121,1010.2,13.1302,12.1593,58.9526,1009.44
20210828.000000,612,14.685,10.3931,120,1010.2,12.0607,11.7524,55.8427,1008.91
20210828.000000,618,16.3863,11.6884,116,1009.9,12.0664,12.2061,52.5362,1009.3
20210828.000000,624,14.3869,10.1926,113,1009.8,12.0742,12.0713,50.9411,1010.57
20210828.000000,630,13.1892,7.79224,108,1009.7,12.1092,11.8296,48.7602,1009.16
20210828.000000,636,12.1869,8.39362,111,1009.6,12.4397,11.1455,49.7729,1009.18
20210828.000000,642,11.5907,8.59408,110,1009.5,10.9946,11.2123,45.5075,1009.75
20210828.000000,648,15.0859,11.3902,116,1009.3,12.584,10.5819,46.2048,1008.31
20210828.000000,654,17.7844,12.3874,115,1009.2,10.9627,11.1307,46.9458,1010.57
20210828.000000,700,15.9854,12.4902,117,1009,11.3172,11.4358,46.2124,1007.66
20210828.000000,706,16.484,11.2926,117,1009.1,11.7759,11.7909,46.3772,1009.9
20210828.000000,712,14.5873,12.1869,116,1008.8,11.634,11.4001,45.2448,1010.28
20210828.000000,718,14.3869,11.2926,121,1008.8,11.3078,11.1895,43.239,1009.6
20210828.000000,724,14.8854,9.49358,130,1008.8,11.6604,10.9829,39.6148,1008.54
20210828.000000,730,15.9854,11.9916,129,1008.8,11.6621,11.3861,41.2579,1009.2
20210828.000000,736,14.2892,10.1926,124,1008.7,12.6297,12.7946,46.7038,1008.28
20210828.000000,742,13.1892,9.39078,121,1008.6,12.633,12.3607,48.6838,1006.35
20210828.000000,748,14.2892,10.5884,119,1008.5,13.0484,13.22,48.4989,1007.44
20210828.000000,754,14.1864,10.7889,114,1008.3,13.688,12.7648,48.4127,1008.64
