"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,1800,7.89504,4.89328,90,1015.3,0,4.49216,68.1629,1015.32
20210828.000000,1900,5.69512,3.19708,100,1014.6,4.09433,4.06167,62.4686,1013.71
20210828.000000,2000,8.0955,6.09604,81,1014.1,6.18434,4.18119,93.8126,1013.26
20210828.000000,2100,5.09374,3.79846,79,1013.8,5.03423,4.74554,83.6167,1013
20210828.000000,2200,7.29366,4.69796,72,1013.5,6.66527,4.94289,83.8203,1012.95
20210828.000000,2300,5.49466,2.99662,71,1013.8,5.95839,4.94762,87.5313,1013.5
20210828.000000,0,3.69566,1.89666,62,1013.7,5.18255,3.76969,79.2514,1014.11
20210828.000000,100,1.799,1.19762,45,1013.7,3.7703,3.75021,65.7014,1013.27
20210828.000000,200,4.59516,2.6985,68,1014,3.99833,3.99833,56.1433,1012.97
20210828.000000,300,3.69566,1.6962,56,1014.2,4.35396,4.33936,61.4324,1013.84
20210828.000000,400,4.99608,2.6985,65,1013.8,4.41131,4.37178,57.3577,1013.59
20210828.000000,500,4.69796,3.09942,47,1013.7,4.37937,3.99668,47.4392,1012.95
20210828.000000,600,2.99662,1.39808,23,1012.7,4.0004,3.39638,16.7178,1011.45
20210828.000000,700,4.79562,2.09712,348,1011.4,4.49532,4.47636,15.8543,1011.7
20210828.000000,800,4.69796,1.799,32,1011,4.89991,4.69951,24.1518,1011.35
20210828.000000,900,4.59516,1.59854,348,1009.9,4.99769,4.99769,19.2385,1009.98
20210828.000000,1000,5.89558,3.39754,355,1010.1,5.85777,5.76012,14.4358,1009.13
20210828.000000,1100,6.99554,2.19992,28,1010.1,6.9285,6.9285,11.0181,1009.2
20210828.000000,1200,8.59408,3.29474,353,1009.7,8.61925,8.61925,12.2654,1008.82
20210828.000000,1300,8.0955,4.79562,320,1008.1,9.36031,8.72175,0.812363,1008.97
20210828.000000,1400,12.3874,7.49412,324,1007.3,10.1457,10.1457,355.266,1007.04
20210828.000000,1500,11.5907,7.196,324,1006.2,11.5335,11.4861,357.094,1006.1
20210828.000000,1600,14.8854,8.19316,322,1004.7,12.3838,12.2512,357.101,1004.7
20210828.000000,1700,13.3897,9.69404,317,1002.8,14.173,14.0262,347.636,1002.58
20210828.000000,1800,17.6867,12.6907,309,1000.2,15.7821,15.2688,335.277,1000.01
20210828.000000,1900,19.3829,15.4868,302,998.4,17.859,17.8371,333.389,997.313
20210828.000000,2000,16.3863,12.6907,297,997.1,20.4522,19.8618,327.433,995.033
20210828.000000,2100,22.3796,15.3892,287,996.3,20.8486,20.2476,319.04,993.869
20210828.000000,2200,22.0814,18.3858,282,995.8,21.1065,20.9087,310.014,994.497
20210828.000000,2300,24.7799,17.6867,276,996.1,20.4762,20.0528,300.08,995.454
20210830.000000,0,22.4824,18.3858,275,997,20.869,20.6902,293.885,996.284
20210830.000000,100,21.4801,15.2864,268,998.2,21.1038,20.0904,289.522,997.42
20210830.000000,200,19.4806,12.4902,266,999.7,20.6694,18.75,286.031,998.921
20210830.000000,300,14.2892,8.0955,258,1000.9,18.1113,17.0077,283.245,1000.55
20210830.000000,400,12.4902,6.79508,249,1002.2,16.4782,15.106,277.507,1001.86
20210830.000000,500,8.69174,3.598,236,1003.2,14.5682,13.1246,267.523,1002.5
20210830.000000,600,8.0955,4.09658,233,1003.8,13.0814,12.774,255.213,1003.85
20210830.000000,700,8.79454,4.19424,226,1004.5,13.0962,12.067,250.891,1004.04
20210830.000000,800,7.39132,3.69566,215,1004.4,11.8527,10.7522,250.343,1004.82
20210830.000000,900,7.59178,3.39754,222,1004.7,10.9165,10.9165,243.744,1005.11
20210830.000000,1000,6.09604,2.99662,226,1005,11.1425,10.7151,247.06,1005.38
20210830.000000,1100,8.8922,3.69566,223,1005.8,11.3732,10.5397,252.765,1006.42
20210830.000000,1200,6.89274,2.40038,243,1006.9,15.8204,9.3796,258.957,1007.5
20210830.000000,1300,5.09374,2.6985,230,1007.3,10.3922,9.02706,255.516,1007.91
20210830.000000,1400,4.89328,2.29758,248,1007.6,9.63945,8.70354,269.965,1007.39
20210830.000000,1500,4.4975,2.89896,247,1008,9.88492,9.87783,269.279,1007.16
20210830.000000,1600,5.69512,2.79616,236,1008.2,10.5432,10.0863,266.169,1007.82
20210830.000000,1700,6.49182,3.09942,222,1008,10.1029,9.68795,263.36,1008.1
