"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,1800,11.1898,7.89504,52,1017,0,8.29006,76.3482,1016.8
20210828.000000,1900,10.2903,8.0955,51,1016.7,8.91789,8.38579,71.946,1015.54
20210828.000000,2000,10.8917,8.19316,64,1016.1,9.03584,8.83456,74.5517,1015.11
20210828.000000,2100,8.59408,6.99554,63,1015.4,9.04561,9.01207,92.2135,1014.7
20210828.000000,2200,11.2926,8.69174,83,1015.2,10.2396,9.05485,96.5398,1014.45
20210828.000000,2300,10.7889,8.19316,81,1015.1,11.1949,11.1949,94.0684,1015.09
20210828.000000,0,11.9916,9.19032,84,1014.9,11.3768,10.0891,86.9151,1015.35
20210828.000000,100,10.7889,8.39362,80,1015,10.7136,10.0875,83.5483,1014.23
20210828.000000,200,13.1892,10.4907,71,1015.5,10.9088,10.89,82.5616,1014.89
20210828.000000,300,11.9916,9.09266,81,1016.1,13.2881,12.3533,90.3361,1015.12
20210828.000000,400,17.3835,13.9859,105,1015.5,13.5117,13.5117,87.6505,1014.22
20210828.000000,500,14.0887,10.2903,81,1014.8,14.1499,13.9256,87.5568,1013.79
20210828.000000,600,14.9882,10.8917,69,1013.3,15.0813,14.557,87.753,1012.14
20210828.000000,700,14.8854,12.5879,60,1012.5,16.2733,15.8375,89.9764,1013.49
20210828.000000,800,16.2835,11.9916,84,1011.8,16.7147,16.701,91.1927,1012.72
20210828.000000,900,13.6878,8.59408,102,1011.4,17.0502,16.4428,94.7173,1011.05
20210828.000000,1000,18.982,14.3869,88,1010.9,17.4521,15.5711,95.4952,1010.59
20210828.000000,1100,18.982,15.2864,87,1010.6,17.5314,17.4554,94.5923,1010.58
20210828.000000,1200,17.6867,13.3897,85,1010.8,18.2865,17.0052,96.4792,1010.76
20210828.000000,1300,14.2892,11.1898,104,1011.6,17.7639,17.314,100.558,1011.46
20210828.000000,1400,20.4829,15.5845,102,1012.6,19.5243,17.7929,88.3092,1011.08
20210828.000000,1500,16.6844,11.2926,112,1012.5,19.2591,16.2355,100.45,1010.76
20210828.000000,1600,20.1848,13.9859,97,1012.8,16.5963,16.1472,118.85,1011.22
20210828.000000,1700,18.283,14.1864,97,1012.5,16.416,16.3497,124.283,1010.91
20210828.000000,1800,16.6844,13.0864,116,1012.4,17.6101,17.3396,126.075,1010.54
20210828.000000,1900,20.1848,14.5873,109,1011.8,19.4962,18.2024,132.198,1010.77
20210828.000000,2000,17.7844,13.6878,109,1011.2,17.8489,17.808,127.661,1010.53
20210828.000000,2100,20.9815,14.5873,117,1011,17.4791,16.51,125.125,1010.25
20210828.000000,2200,19.0848,14.3869,123,1010.6,18.3487,15.7962,125.355,1010.65
20210828.000000,2300,20.781,15.1887,134,1010.7,18.5298,13.7596,144.134,1010.92
20210830.000000,0,19.4806,13.2869,135,1010.5,17.042,15.7242,146.169,1009.99
20210830.000000,100,20.082,16.0882,148,1010.7,17.132,16.945,143.707,1009.53
20210830.000000,200,19.0848,13.6878,145,1011.1,17.2734,16.9615,137.536,1010.04
20210830.000000,300,17.7844,13.1892,146,1010.9,19.7499,18.4868,137.019,1009.54
20210830.000000,400,20.4829,15.4868,143,1010.9,19.3606,18.4105,146.223,1009.83
20210830.000000,500,18.0825,13.2869,128,1010.6,19.5012,19.4166,151.515,1010.16
20210830.000000,600,19.7839,13.1892,138,1010.2,18.1622,17.7556,152.067,1010.21
20210830.000000,700,18.982,15.8877,160,1010.4,18.8312,17.1359,157.805,1009.36
20210830.000000,800,21.2796,16.5868,150,1009.3,20.6005,20.5847,163.211,1010.24
20210830.000000,900,16.7872,14.1864,163,1009.7,17.8355,17.6579,157.847,1008.79
20210830.000000,1000,17.4863,13.8883,174,1010.1,20.7602,17.8501,164.273,1009.01
20210830.000000,1100,23.68,17.5839,154,1009.6,18.6286,16.6799,170.376,1010.43
20210830.000000,1200,19.0848,14.9882,150,1009.8,16.4012,15.9748,173.988,1010.16
20210830.000000,1300,17.5839,11.9916,153,1009.3,17.2977,15.6491,171.094,1009.89
20210830.000000,1400,17.183,14.0887,168,1008.8,19.53,15.236,171.34,1009.51
20210830.000000,1500,18.7816,14.4897,161,1009.1,17.4581,17.2325,176.849,1008.74
20210830.000000,1600,20.6834,15.1887,169,1009.3,18.5521,17.4123,180.053,1008.53
20210830.000000,1700,15.7849,13.1892,172,1009.8,19.2603,18.3468,175.775,1008.86
