"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,600,21.881,18.0825,77,1006.8,0,18.731,56.712,1006.14
20210828.000000,606,18.982,15.8877,74,1006.7,18.6233,16.8805,53.736,1005.54
20210828.000000,612,20.4829,17.5839,69,1006.7,16.9986,16.7482,52.2606,1005.33
20210828.000000,618,18.982,16.5868,71,1006.5,16.7461,16.4996,49.4297,1005.86
20210828.000000,624,19.2853,16.3863,75,1006.2,16.5226,16.27,48.5425,1005.44
20210828.000000,630,21.3824,17.8821,71,1005.9,16.3123,15.2479,49.2305,1009.04
20210828.000000,636,25.1757,19.7839,65,1005.7,16.1138,15.7889,48.5296,1006.41
20210828.000000,642,25.5766,19.3829,64,1005.4,15.9923,15.5334,46.9368,1007.7
20210828.000000,648,21.881,18.0825,63,1005.2,18.2905,17.272,52.9238,1004.67
20210828.000000,654,22.4824,19.4806,66,1005,18.7159,17.5457,52.4469,1006.39
20210828.000000,700,21.881,17.3835,66,1004.9,18.1618,16.369,51.1025,1005.29
20210828.000000,706,21.7833,18.283,64,1005.1,17.5739,17.0057,51.0714,1007.26
20210828.000000,712,20.8838,17.0854,65,1004.6,17.7566,17.1084,52.9811,1005.48
20210828.000000,718,21.2796,17.2858,65,1004.1,18.3278,17.2764,53.3242,1005.03
20210828.000000,724,20.5806,16.7872,53,1003.8,18.3603,17.6179,54.4098,1005.5
20210828.000000,730,22.9809,18.283,50,1003.6,19.3643,18.6063,57.7727,1004.1
20210828.000000,736,21.5829,18.4834,60,1003.5,19.833,19.293,57.89,1003.91
20210828.000000,742,23.0786,18.7816,66,1003.2,20.0587,17.8146,56.7333,1004.91
20210828.000000,748,27.3756,23.5772,75,1003,19.7482,19.6143,56.4658,1002.77
20210828.000000,754,27.8742,21.881,72,1003,19.73,19.3296,56.0029,1004.42
20210828.000000,800,29.1746,24.2814,67,1002.5,20.6399,20.6399,55.2118,1003.24
20210828.000000,806,25.1757,20.9815,71,1002.2,20.7899,19.3125,59.4427,1002.07
20210828.000000,812,25.3762,19.8815,74,1001.8,20.1606,19.6149,57.303,1003.67
20210828.000000,818,27.977,23.3819,73,1001.3,20.563,19.862,57.405,1001.11
20210828.000000,824,27.7766,22.8781,74,1001.1,21.6316,21.0369,56.3219,1002.04
20210828.000000,830,28.7737,23.9781,72,1000.6,22.3546,21.2021,57.1886,1001.39
20210828.000000,836,28.9742,23.9781,74,1000.3,22.1052,21.3545,57.378,1001.76
20210828.000000,842,29.6732,25.0781,73,999.9,22.3029,22.046,56.9715,999.804
20210828.000000,848,31.0713,25.0781,71,999.5,23.1249,21.6359,53.3862,999.312
20210828.000000,854,30.1718,25.9776,68,999.1,26.0112,23.6133,57.2072,1000.22
20210828.000000,900,32.6698,26.6766,69,998.9,23.5942,20.7078,58.5782,1000.25
20210828.000000,906,31.8731,27.3756,66,998.4,24.5358,22.5583,51.6143,998.354
