"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,1800,5.49466,3.4952,96,1015.3,0,5.17656,98.2261,1015.2
20210828.000000,1900,7.29366,5.2942,89,1015.1,7.34139,6.85467,81.868,1013.69
20210828.000000,2000,8.69174,5.397,96,1014.2,7.33502,7.12763,75.8337,1013.86
20210828.000000,2100,6.2965,4.09658,92,1013.8,8.32714,6.55041,84.3599,1013.22
20210828.000000,2200,7.39132,5.79278,115,1013.7,8.39365,8.00432,74.9764,1012.83
20210828.000000,2300,7.0932,4.09658,102,1013.3,8.39941,7.86825,62.7066,1012.92
20210828.000000,0,7.29366,4.89328,98,1013,9.10684,8.37669,65.8225,1013.68
20210828.000000,100,7.59178,3.99892,111,1012.6,9.938,9.6094,62.5653,1012.02
20210828.000000,200,8.79454,5.397,92,1012.8,10.935,10.7611,64.6375,1012.48
20210828.000000,300,11.2926,7.39132,83,1012.6,13.4269,12.7631,64.8139,1011.98
20210828.000000,400,14.5873,10.4907,94,1012.2,13.2283,11.8624,63.7587,1010.98
20210828.000000,500,11.5907,7.79224,91,1010.5,13.3574,12.8282,60.1238,1009.97
20210828.000000,600,12.7883,7.59178,120,1010.2,14.5656,17.4908,65.8184,1007.72
20210828.000000,700,11.0921,6.2965,96,1008.2,14.8433,12.4407,66.6082,1007.48
20210828.000000,800,14.3869,9.69404,119,1006.3,13.8562,14.3369,68.1505,1004.9
20210828.000000,900,15.3892,8.8922,106,1004.3,15.5407,15.5957,65.0064,1003.18
20210828.000000,1000,21.1819,16.3863,122,1001.1,17.3146,16.7807,66.2673,1000.12
20210828.000000,1100,26.7743,19.2853,123,997.9,19.3508,18.748,85.5829,997.545
20210828.000000,1200,28.1775,17.8821,136,995.7,22.384,23.3618,88.3721,993.918
20210828.000000,1300,34.4688,23.1814,152,995.4,24.6687,25.3791,95.6219,994.676
20210828.000000,1400,34.2684,25.5766,162,996.6,24.8429,24.9231,107.483,995.52
20210828.000000,1500,32.3717,25.0781,161,998.1,26.2672,23.782,123.066,995.034
20210828.000000,1600,32.1713,24.4767,171,999.2,22.9839,22.4275,131.53,997.685
20210828.000000,1700,33.2712,24.379,184,1000.9,22.0316,21.2774,144.489,1000.22
20210828.000000,1800,28.3779,22.6828,186,1001.6,20.8839,21.0971,150.136,1002.35
20210828.000000,1900,27.3756,22.9809,189,1002.9,20.7521,20.3559,164.247,1003.43
20210828.000000,2000,27.1752,17.9849,184,1003.2,19.2801,18.2142,159.521,1004.51
20210828.000000,2100,27.1752,21.4801,189,1003.8,17.6533,14.9358,161.756,1004.86
20210828.000000,2200,23.0786,16.7872,186,1004.4,15.6618,13.8105,166.073,1005.92
20210828.000000,2300,20.1848,18.0825,194,1005,16.9647,13.6804,157.396,1005.12
20210830.000000,0,19.5834,15.5845,183,1005.4,15.758,15.6826,167.041,1006.54
20210830.000000,100,20.781,16.6844,184,1006.4,14.7904,14.4014,173.168,1006.01
20210830.000000,200,21.2796,15.5845,191,1007.9,17.3247,14.9237,169.242,1007.06
20210830.000000,300,16.484,13.5902,215,1008.7,17.5769,14.6938,180.944,1007.11
20210830.000000,400,20.5806,17.4863,212,1009,17.4614,15.5453,170.515,1007.78
20210830.000000,500,14.4897,12.4902,205,1008.5,17.2036,16.7117,178.209,1007.58
20210830.000000,600,16.2835,12.7883,199,1008.1,17.1619,15.2449,173.492,1008.08
20210830.000000,700,17.4863,13.7855,211,1008.2,15.911,14.109,181.303,1008.47
20210830.000000,800,16.6844,12.7883,221,1008.2,13.5945,13.271,189.942,1008.99
20210830.000000,900,15.9854,11.8888,220,1008,14.5764,11.1565,199.46,1008.9
20210830.000000,1000,16.484,12.2897,224,1007.9,14.5169,11.87,183.176,1008.99
20210830.000000,1100,14.2892,11.7912,217,1008.8,12.8279,12.1023,188.357,1010.12
20210830.000000,1200,13.5902,10.0898,217,1009.5,11.7059,10.2393,196.707,1009.87
20210830.000000,1300,12.2897,10.0898,216,1009.3,9.15603,9.05314,197.944,1010.25
20210830.000000,1400,14.0887,12.2897,229,1009.2,9.90507,9.47398,199.515,1010.08
20210830.000000,1500,13.7855,11.3902,228,1009.8,10.7447,10.5733,196.72,1009.62
20210830.000000,1600,14.0887,11.3902,255,1009.8,12.4503,11.9254,192.934,1009.49
20210830.000000,1700,12.3874,9.09266,245,1010.2,13.0026,13.0026,193.079,1009.79
