"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,600,14.8854,10.8917,72,1012.2,0,12.1286,84.2609,1012.08
20210828.000000,606,13.6878,12.2897,64,1012,12.9917,12.9917,86.1058,1012.08
20210828.000000,612,13.7855,11.6884,65,1012,13.0297,11.3797,83.4619,1011.4
20210828.000000,618,14.9882,12.8911,61,1011.8,11.3758,10.1882,78.9825,1011.46
20210828.000000,624,14.4897,12.2897,68,1011.9,10.2017,9.99015,74.2678,1010.76
20210828.000000,630,13.3897,10.1926,66,1011.8,10.4682,10.4384,67.1515,1011.42
20210828.000000,636,13.8883,11.3902,64,1011.6,11.309,11.2486,67.7369,1011.85
20210828.000000,642,13.2869,11.0921,65,1011.5,12.3022,12.2846,68.6637,1010
20210828.000000,648,13.6878,11.0921,59,1011.2,14.2446,14.196,73.6147,1011.17
20210828.000000,654,16.2835,13.3897,62,1011,14.3089,13.0987,76.0592,1012.19
20210828.000000,700,15.6873,13.3897,63,1010.8,13.0907,12.188,77.9287,1011.41
20210828.000000,706,18.6839,15.2864,69,1010.8,12.4785,12.1788,72.8629,1010.56
20210828.000000,712,16.0882,13.3897,67,1010.6,12.1941,11.4201,67.4516,1011.55
20210828.000000,718,16.7872,14.7878,65,1010.5,12.1911,12.1392,69.7874,1012.9
20210828.000000,724,18.3858,16.484,62,1010.6,12.2239,11.6462,69.491,1011.24
20210828.000000,730,18.283,15.8877,63,1010.7,11.6647,11.4173,68.3027,1011.24
20210828.000000,736,20.8838,15.0859,100,1011.7,12.445,12.4089,67.3469,1010.99
20210828.000000,742,14.3869,11.4879,100,1011.4,12.5882,12.4698,66.0559,1011.96
20210828.000000,748,11.1898,8.29082,87,1011,13.3968,13.208,67.0338,1011.95
20210828.000000,754,11.9916,9.99216,76,1010.7,14.5669,11.533,74.8988,1010.74
20210828.000000,800,12.3874,10.3931,78,1011,12.6268,12.3506,76.4439,1009.87
20210828.000000,806,11.1898,7.59178,92,1010.8,12.3513,11.9123,68.4016,1010.15
20210828.000000,812,13.1892,9.69404,84,1010.6,12.8154,12.7475,66.78,1008.9
20210828.000000,818,14.685,10.7889,73,1010.6,13.5572,13.3273,65.874,1009.43
20210828.000000,824,13.5902,10.8917,70,1010.7,14.7658,14.61,62.8308,1009.21
20210828.000000,830,13.2869,10.2903,79,1010.6,14.6445,14.0958,65.7882,1009.96
20210828.000000,836,14.3869,11.2926,82,1010.2,14.1197,13.0725,67.5825,1008.37
20210828.000000,842,13.8883,11.7912,79,1010.2,14.0024,13.7674,69.036,1009.53
20210828.000000,848,13.8883,11.5907,75,1010.2,13.8482,13.3687,68.2639,1008.63
20210828.000000,854,15.3892,12.8911,70,1010.2,13.4425,13.3727,65.4332,1008.47
20210828.000000,900,14.9882,13.4874,59,1009.8,14.0534,14.0254,67.114,1007.79
20210828.000000,906,13.0864,9.59124,43,1009.3,14.1226,13.4793,66.719,1008.66
20210828.000000,912,11.2926,9.88936,41,1009.1,13.6683,13.6211,67.4456,1007.7
20210828.000000,918,11.5907,10.2903,40,1009.1,13.8957,13.7009,65.108,1008.01
20210828.000000,924,11.4879,9.7917,36,1009.2,13.889,13.8704,64.3826,1008.13
20210828.000000,930,11.3902,9.59124,43,1009.2,14.2957,13.6853,64.0097,1008.22
20210828.000000,936,13.1892,11.1898,46,1008.9,14.6208,13.8753,62.2162,1008.29
20210828.000000,942,12.6907,9.49358,78,1010.3,15.022,13.7131,75.5977,1007.4
20210828.000000,948,17.9849,12.9888,98,1009.9,13.6526,9.1657,96.4551,1007.9
20210828.000000,954,12.9888,10.7889,86,1009.4,14.9277,14.5229,69.5779,1007.32
20210828.000000,1000,15.8877,12.8911,83,1009.1,15.6823,15.4083,66.7471,1006.72
20210828.000000,1006,18.283,15.1887,77,1008.8,15.3985,14.3156,69.7599,1007.67
20210828.000000,1012,17.6867,13.8883,71,1008.9,15.9371,15.7429,66.5329,1006.85
20210828.000000,1018,17.5839,14.8854,69,1008.7,15.8303,15.1746,65.7383,1006.79
20210828.000000,1024,17.5839,14.3869,58,1008.6,15.3412,15.2477,61.7831,1006.42
20210828.000000,1030,19.1825,16.7872,60,1008.4,15.2439,14.3543,63.4904,1008.53
20210828.000000,1036,19.9843,17.5839,57,1008.3,15.4585,15.3557,63.0471,1008.1
20210828.000000,1042,19.5834,15.6873,60,1008.1,15.3619,15.2155,62.2625,1006.35
20210828.000000,1048,17.7844,14.4897,60,1007.9,15.9126,15.8414,60.4781,1007.27
20210828.000000,1054,19.0848,15.9854,65,1007.6,16.1647,16.0123,62.3592,1006.68
20210828.000000,1100,21.0843,18.4834,63,1007.5,16.9242,16.3679,59.8161,1007.58
20210828.000000,1106,20.8838,16.9877,64,1007.6,16.5277,16.2562,58.517,1006.74
20210828.000000,1112,5139.49,5139.49,9999,9999,16.7199,16.4838,57.6725,1005.91
20210828.000000,1118,18.0825,15.4868,59,1007.6,16.7603,16.3998,58.3945,1006.47
20210828.000000,1124,22.1791,17.2858,73,1007.6,16.9683,16.9021,60.0489,1006.65
20210828.000000,1130,19.6811,15.4868,84,1007.5,17.3059,17.3059,57.7643,1006.8
20210828.000000,1136,20.4829,15.3892,90,1007.3,17.3147,17.2249,58.8659,1006.65
20210828.000000,1142,24.2814,18.982,88,1006.9,17.2623,16.1239,57.9779,1006.32
20210828.000000,1148,25.1757,20.8838,78,1006.6,17.0831,17.0831,58.2026,1006.24
20210828.000000,1154,21.2796,17.6867,79,1006.8,17.5558,17.2918,57.1521,1006.55
20210828.000000,1200,21.5829,17.183,79,1007,17.9516,17.6098,57.6146,1006.36
20210828.000000,1206,21.3824,17.0854,77,1007,18.3785,18.3438,56.5491,1005.61
20210828.000000,1212,22.7805,17.3835,83,1006.8,19.1578,18.5026,57.0281,1006.77
20210828.000000,1218,23.3819,16.8849,87,1006.7,18.7956,18.7956,59.7725,1005
20210828.000000,1224,23.1814,16.7872,79,1006.3,21.0308,20.8647,60.6588,1005.26
20210828.000000,1230,21.3824,17.0854,84,1006.6,20.8317,17.7652,60.7883,1006.58
20210828.000000,1236,21.7833,17.8821,82,1006.6,20.8315,15.7285,65.337,1005.43
20210828.000000,1242,22.6828,17.8821,77,1006.7,22.422,19.075,69.1605,1006.21
20210828.000000,1248,23.9781,18.4834,83,1006.6,19.4913,19.1597,66.423,1006.9
20210828.000000,1254,21.6805,18.3858,82,1006.3,19.8366,18.4995,62.0175,1005.58
20210828.000000,1300,24.5795,18.283,80,1006.2,20.2026,20.1975,64.0385,1005.1
20210828.000000,1306,24.1786,18.982,79,1006.2,20.4661,19.6916,62.4187,1004.1
20210828.000000,1312,22.1791,17.2858,79,1006.3,21.5736,20.6555,63.7693,1005.21
20210828.000000,1318,23.0786,19.3829,82,1006.4,21.5219,19.6993,66.0372,1005.11
20210828.000000,1324,26.0752,19.0848,81,1006.1,21.2258,20.4814,63.2291,1005.3
20210828.000000,1330,23.5772,17.0854,78,1006.1,22.1394,21.1578,63.2937,1004.98
20210828.000000,1336,21.0843,17.9849,81,1005.9,23.3583,18.935,70.6401,1004.69
20210828.000000,1342,25.2785,17.7844,85,1005.9,24.9308,24.5603,68.8465,1005.02
20210828.000000,1348,22.58,19.0848,86,1005.8,19.5158,19.148,74.5289,1004.98
20210828.000000,1354,23.7776,19.8815,82,1005.4,28.8532,18.7065,85.0281,1005.31
20210828.000000,1400,25.5766,20.9815,77,1005.6,20.2006,18.6916,71.7578,1004.92
20210828.000000,1406,24.2814,19.9843,81,1005.6,19.2501,18.0572,78.4145,1004.34
20210828.000000,1412,5139.49,5139.49,9999,9999,20.5206,19.5836,74.4108,1004.62
20210828.000000,1418,26.4761,20.9815,80,1005.3,18.6949,18.578,73.3275,1004.03
20210828.000000,1424,23.7776,19.3829,80,1005.3,19.8497,19.4034,71.2999,1004.25
20210828.000000,1430,25.2785,20.082,88,1005,20.0011,20.0011,68.9575,1004
20210828.000000,1436,27.4784,21.0843,84,1005,20.8846,20.1919,72.5834,1004.56
20210828.000000,1442,24.6771,20.6834,84,1004.8,22.6374,22.6374,72.278,1004.15
20210828.000000,1448,26.0752,20.8838,84,1004.8,23.2077,20.3148,74.2057,1003.35
20210828.000000,1454,26.4761,21.6805,80,1004.7,22.0261,18.9992,77.2362,1004.39
20210828.000000,1500,23.7776,20.2824,86,1004.7,22.7632,22.4346,73.5136,1003.26
20210828.000000,1506,25.479,19.9843,84,1004.3,21.1451,20.9577,70.9191,1003.2
20210828.000000,1512,26.0752,20.5806,82,1004.3,23.5409,20.7653,77.0575,1003.34
20210828.000000,1518,26.2757,18.6839,86,1004.3,22.5436,19.9245,67.3129,1003.16
20210828.000000,1524,24.1786,17.6867,88,1004.2,25.1934,17.5554,76.4221,1003.54
20210828.000000,1530,25.0781,20.3801,91,1004.2,24.9943,24.9943,72.474,1002.47
20210828.000000,1536,24.7799,19.1825,91,1004.2,26.4174,18.1617,85.7232,1002.99
20210828.000000,1542,27.0775,19.2853,91,1004.2,24.0692,21.2168,80.0963,1001.78
20210828.000000,1548,23.8804,19.9843,92,1003.9,22.419,20.2105,79.2727,1002.5
20210828.000000,1554,27.1752,20.8838,94,1003.9,23.1255,21.577,79.8903,1001.03
20210828.000000,1600,25.479,21.0843,91,1003.8,22.1345,21.4082,79.1439,1004.55
20210828.000000,1606,24.9804,19.4806,93,1003.8,21.4667,20.7705,81.9658,1001.37
20210828.000000,1612,27.278,20.1848,93,1003.5,23.018,20.1255,84.2558,1001.1
20210828.000000,1618,25.0781,20.1848,92,1003.6,22.6413,21.3823,80.902,1001.12
20210828.000000,1624,24.1786,18.5862,95,1003.6,21.662,20.1217,86.635,1000.95
20210828.000000,1630,27.5761,21.0843,95,1003.4,23.4305,22.8431,86.1899,1000.62
20210828.000000,1636,26.0752,20.1848,91,1003.3,22.9161,22.6998,81.829,1000.04
20210828.000000,1642,25.7771,20.9815,94,1003,22.8738,22.0134,87.6493,1001.55
20210828.000000,1648,29.077,23.4795,95,1002.9,21.7613,21.5294,89.779,1000.79
20210828.000000,1654,31.575,21.7833,94,1002.8,22.5101,21.3006,89.2006,1001.58
20210828.000000,1700,27.6738,21.881,99,1002.8,21.7217,21.2615,89.9252,1000.46
20210828.000000,1706,27.4784,23.1814,98,1002.7,22.4494,22.4203,93.1928,1001.5
20210828.000000,1712,28.0747,20.8838,98,1002.5,23.8338,23.3502,94.2197,1000.53
20210828.000000,1718,27.278,21.881,95,1002.6,23.2992,23.1741,94.6966,1000.97
20210828.000000,1724,28.3779,22.3796,103,1002.4,21.9721,20.3154,97.7046,1000.66
20210828.000000,1730,28.6761,22.0814,99,1002.2,22.304,21.1818,97.4893,999.711
20210828.000000,1736,30.1718,23.7776,97,1002.3,22.5875,22.3432,97.1714,1000.68
20210828.000000,1742,32.3717,25.3762,107,1002,22.9785,22.9516,96.3733,998.977
20210828.000000,1748,30.5727,26.4761,104,1001.7,22.9843,22.5277,100.29,999.816
20210828.000000,1754,31.1741,25.2785,103,1001.6,23.0523,22.1614,99.6518,999.606
20210828.000000,1800,29.9765,24.9804,103,1001.6,22.7342,21.4722,102.936,999.734
20210828.000000,1806,30.3723,23.8804,103,1001.3,24.1718,23.4582,101.817,1000.33
20210828.000000,1812,35.8669,28.4756,105,1001,24.3066,21.7069,102.771,999.162
20210828.000000,1818,32.5722,27.6738,105,1000.9,25.1877,19.8337,103.789,998.684
20210828.000000,1824,31.9708,27.6738,107,1000.8,23.7208,23.7208,105.409,998.967
20210828.000000,1830,31.6727,25.3762,100,1000.8,24.1306,23.7764,107.924,998.873
20210828.000000,1836,31.9708,25.2785,103,1000.8,21.9699,21.7144,109.237,998.776
20210828.000000,1842,32.0736,24.7799,105,1000.6,23.1429,22.4853,106.339,999.454
20210828.000000,1848,32.1713,24.8776,105,1000.5,23.0231,21.9527,108.934,999.243
20210828.000000,1854,32.8703,24.6771,105,1000.3,23.8122,23.3498,111.042,999.453
20210828.000000,1900,33.3689,26.2757,108,1000.4,22.1199,22.024,113.05,999.632
20210828.000000,1906,30.5727,26.178,108,1000.6,23.6977,21.2983,111.092,999.407
20210828.000000,1912,33.0708,25.1757,109,1000.2,22.9864,22.1251,113.915,998.903
20210828.000000,1918,33.8726,27.5761,116,1000.3,23.1599,21.9507,114.462,999.137
20210828.000000,1924,34.7721,27.8742,113,1000.2,23.3327,21.0738,115.339,999.117
20210828.000000,1930,33.0708,27.0775,111,1000.1,22.4311,21.5591,115.684,998.927
20210828.000000,1936,33.0708,27.4784,106,1000,22.8968,22.8381,119.405,999.043
20210828.000000,1942,34.5716,27.1752,110,1000,23.541,22.1481,120.706,999.034
20210828.000000,1948,34.1707,26.3785,111,999.7,22.8676,22.6019,120.223,999.486
20210828.000000,1954,33.5693,26.8771,110,999.9,23.6385,22.9751,119.733,999.136
20210828.000000,2000,31.2718,24.6771,114,1000,23.9862,23.5642,120.871,999.747
20210828.000000,2006,32.7726,24.9804,115,999.9,23.1146,22.7651,121.152,998.334
20210828.000000,2012,32.4694,28.3779,113,999.5,21.6172,20.9098,121.75,999.361
20210828.000000,2018,31.8731,26.0752,115,999.3,22.9061,22.8285,122.069,999.939
20210828.000000,2024,31.4722,26.3785,116,999.5,22.0932,21.86,122.621,999.504
20210828.000000,2030,33.7698,25.2785,112,999.3,23.5518,23.5518,121.206,999.326
20210828.000000,2036,32.1713,26.8771,110,999.1,22.6992,21.218,122.4,1000.35
20210828.000000,2042,32.6698,27.0775,115,999.1,22.1206,21.5925,121.195,998.767
20210828.000000,2048,33.1736,27.0775,113,998.9,23.4291,22.1658,125.114,999.525
20210828.000000,2054,33.3689,28.0747,111,998.5,21.9942,20.9556,125.432,1000.32
20210828.000000,2100,33.4717,25.3762,117,999.2,22.1747,21.4617,122.408,999.136
20210828.000000,2106,34.8698,27.6738,114,998.8,22.2084,22.0865,124.799,1000.41
