"DATE","TIME","OBS_GUST","OBS_WSPD","OBS_WDIR","OBS_PSFC","HWRFLES_GUST","HWRFLES_WSPD","HWRFLES_WDIR","HWRFLES_PSFC"
20210828.000000,600,4.59516,1.799,49,1012.5,0,4.0637,47.8596,1011.9
20210828.000000,606,4.3947,1.6962,54,1012.3,4.05476,3.73565,50.8114,1011.52
20210828.000000,612,4.29704,2.40038,47,1012.2,4.36009,4.36009,59.6083,1011.64
20210828.000000,618,3.89612,1.799,51,1012.2,5.57917,5.57917,61.5891,1011.48
20210828.000000,624,4.3947,1.6962,58,1012.2,6.04571,6.04487,59.8034,1013.24
20210828.000000,630,3.4952,1.50088,50,1012.1,6.0405,5.95107,52.3252,1012.1
20210828.000000,636,3.89612,1.89666,43,1011.9,6.15846,6.15014,46.5816,1010.89
20210828.000000,642,3.99892,1.50088,34,1011.7,7.30379,7.30379,47.5824,1011.94
20210828.000000,648,4.09658,1.50088,37,1011.4,8.00333,7.17971,48.7255,1010.42
20210828.000000,654,3.99892,1.39808,33,1011.5,8.12551,8.11421,59.752,1013.57
20210828.000000,700,3.89612,1.89666,38,1011.3,10.651,8.19084,64.2879,1011.33
20210828.000000,706,4.09658,2.5957,40,1011.4,8.2233,7.3025,74.7778,1012.83
20210828.000000,712,4.89328,1.99946,36,1011.3,7.29772,6.1043,69.1803,1012.16
20210828.000000,718,4.79562,2.09712,32,1011.1,6.14964,6.03804,68.6012,1012.5
20210828.000000,724,4.09658,1.30042,27,1011,6.09906,4.80813,43.4793,1011.69
20210828.000000,730,3.29474,1.799,27,1010.8,4.94022,4.28197,41.1295,1010.7
20210828.000000,736,3.99892,1.39808,29,1010.7,4.38416,4.35483,33.8322,1010.75
20210828.000000,742,4.09658,1.6962,30,1010.7,5.31079,5.28095,42.3,1010.51
20210828.000000,748,3.4952,1.6962,28,1010.4,5.75349,5.75349,52.2631,1012.1
20210828.000000,754,4.89328,1.99946,27,1010.3,6.29102,6.16018,46.8534,1010.69
20210828.000000,800,4.4975,1.99946,31,1010.1,6.27457,6.01192,44.9163,1011.03
20210828.000000,806,3.598,1.50088,27,1010,6.0412,5.3444,37.8215,1010.61
20210828.000000,812,4.19424,1.99946,34,1010.1,5.33419,5.2625,32.9849,1009.77
20210828.000000,818,4.3947,1.6962,83,1011,5.79781,5.78548,43.9161,1009.81
20210828.000000,824,6.79508,2.79616,65,1010.9,6.1823,6.13811,41.5135,1009.12
20210828.000000,830,6.59462,2.49804,61,1010.5,6.16482,5.65327,27.2594,1010.38
20210828.000000,836,5.79278,1.799,59,1010.3,5.7867,5.74585,29.2935,1008.91
20210828.000000,842,4.4975,1.19762,52,1010.1,5.93905,5.9051,36.9256,1009.39
20210828.000000,848,4.59516,2.49804,63,1010.3,5.98608,5.7892,35.8598,1010.31
20210828.000000,854,4.99608,2.5957,58,1010.2,6.12365,6.10744,40.3089,1008.62
20210828.000000,900,6.69228,2.40038,65,1010.2,6.70176,6.63843,47.8463,1007.99
20210828.000000,906,5.69512,2.49804,57,1010.2,6.78773,6.13905,44.3778,1009.19
20210828.000000,912,7.29366,2.40038,40,1010.2,6.67369,5.97195,38.9903,1009.58
20210828.000000,918,7.0932,2.99662,36,1010.2,6.8843,6.86163,32.3184,1008.1
20210828.000000,924,6.79508,2.49804,42,1010.2,6.88172,6.81302,39.7919,1008.78
20210828.000000,930,8.0955,2.29758,47,1010,7.2633,7.2633,35.7684,1008.55
20210828.000000,936,5.2942,2.29758,35,1010,7.44032,7.09139,35.1252,1008.62
20210828.000000,942,7.196,2.6985,40,1010.1,7.17465,7.16599,33.3667,1008.39
20210828.000000,948,6.99554,2.6985,34,1010.2,7.49927,7.49371,31.5993,1007.81
20210828.000000,954,7.49412,3.29474,37,1010.2,7.51298,7.26865,30.5514,1008.2
20210828.000000,1000,6.89274,2.49804,30,1009.9,7.45888,7.4563,29.9666,1007.68
20210828.000000,1006,5.19654,2.5957,33,1009.9,7.59435,7.47101,28.94,1007.3
20210828.000000,1012,5.09374,1.799,26,1009.8,7.59721,7.47457,30.9942,1008.33
20210828.000000,1018,4.3947,2.40038,35,1010.2,7.78249,7.74839,31.9882,1008.34
20210828.000000,1024,6.49182,1.799,48,1010.4,7.8508,7.79464,30.7007,1008.68
20210828.000000,1030,6.79508,2.89896,41,1010.3,7.91043,7.73044,29.8049,1007.56
20210828.000000,1036,6.49182,2.89896,42,1010.1,8.22261,7.89941,30.7762,1008.27
20210828.000000,1042,5.19654,2.49804,30,1009.9,8.9921,8.59804,27.9523,1007.98
20210828.000000,1048,5.09374,1.50088,28,1009.7,9.26694,7.83579,36.5567,1007.83
20210828.000000,1054,4.3947,1.09996,21,1009.3,7.89336,7.5474,32.8519,1008.05
20210828.000000,1100,3.79846,1.89666,29,1009.3,7.84988,7.45345,36.4965,1007.93
20210828.000000,1106,4.59516,2.09712,32,1009.1,9.30355,9.14892,28.9552,1007.87
20210828.000000,1112,4.29704,1.39808,25,1009,9.68544,9.09318,30.9348,1008.54
20210828.000000,1118,3.89612,1.19762,11,1008.7,9.09571,9.01051,29.9832,1007.33
20210828.000000,1124,3.4952,2.29758,27,1008.7,9.49059,9.49059,22.8097,1006.64
20210828.000000,1130,5.79278,2.09712,20,1008.5,9.68481,9.17762,23.7221,1007.31
20210828.000000,1136,4.89328,2.49804,23,1008.5,9.88475,9.88475,20.7659,1006.73
20210828.000000,1142,4.19424,1.99946,25,1008.5,10.3825,9.0207,24.9616,1006.73
20210828.000000,1148,5.79278,1.99946,28,1008.3,10.4738,10.4439,23.9316,1007.29
20210828.000000,1154,4.29704,2.19992,25,1008.1,11.2637,10.4372,15.3355,1006.89
20210828.000000,1200,4.99608,1.30042,24,1007.8,10.7092,10.6935,21.3702,1007.41
20210828.000000,1206,4.79562,1.59854,21,1007.9,10.8498,10.0484,22.707,1006.93
20210828.000000,1212,4.79562,1.99946,28,1007.7,10.4467,10.2015,21.4823,1006.89
20210828.000000,1218,5.69512,2.79616,28,1007.4,11.3995,11.3874,21.9114,1006.88
20210828.000000,1224,6.49182,2.79616,31,1007.3,11.3996,10.3718,21.7691,1006.77
20210828.000000,1230,5.2942,1.99946,22,1007.1,11.052,11.052,19.9428,1006.55
20210828.000000,1236,3.89612,1.99946,24,1006.9,11.6051,10.8965,20.2082,1007.03
20210828.000000,1242,5.59746,2.29758,28,1007,10.8994,10.6154,18.9445,1007.12
20210828.000000,1248,9.09266,3.19708,28,1007,11.8419,11.787,19.7284,1005.92
20210828.000000,1254,7.79224,3.29474,41,1007,11.9358,11.3666,15.6517,1005.55
20210828.000000,1300,9.09266,4.69796,36,1006.7,12.0307,11.7028,19.8786,1006.19
20210828.000000,1306,10.1926,4.59516,33,1006.6,11.6,11.6,19.7979,1005.68
20210828.000000,1312,8.69174,3.89612,32,1006.4,12.1908,10.6586,24.3406,1005.67
20210828.000000,1318,8.49128,3.4952,35,1006.3,9.81911,9.63198,28.5548,1005.43
20210828.000000,1324,7.9927,3.69566,30,1006.2,9.08553,7.86109,48.1461,1005.98
20210828.000000,1330,8.79454,3.69566,34,1006.2,15.1237,14.312,34.1008,1006.14
20210828.000000,1336,11.7912,5.19654,42,1006,14.1797,9.30915,47.8295,1004.81
20210828.000000,1342,12.1869,5.69512,40,1005.6,11.8592,11.7612,21.9848,1003.67
20210828.000000,1348,11.0921,5.2942,41,1005.5,14.0476,12.5191,24.2903,1004.98
20210828.000000,1354,11.5907,5.2942,44,1005.4,13.7327,13.6176,20.2252,1004.18
20210828.000000,1400,13.8883,6.09604,42,1005.2,14.5082,12.8901,20.6615,1003.52
20210828.000000,1406,11.1898,6.1937,39,1005,15.0204,13.9619,27.0367,1005.12
20210828.000000,1412,11.9916,5.09374,36,1005,15.3879,10.068,35.2807,1002.77
20210828.000000,1418,9.49358,4.29704,31,1004.6,14.5214,9.849,52.3505,1003.6
20210828.000000,1424,12.1869,7.49412,41,1004.7,11.8948,10.646,45.443,1005.23
20210828.000000,1430,14.4897,6.59462,48,1004.4,13.4961,13.0518,45.1467,1003.84
20210828.000000,1436,13.5902,6.2965,37,1004,13.4784,11.996,37.7882,1003.46
20210828.000000,1442,14.685,7.9927,38,1003.8,13.0484,13.0466,36.2635,1002.17
20210828.000000,1448,12.5879,5.89558,51,1003.8,13.7919,13.1434,42.2698,1002.84
20210828.000000,1454,13.6878,6.99554,40,1003.7,13.8801,13.6613,38.9151,1003.33
20210828.000000,1500,13.8883,9.09266,44,1003.6,14.2267,14.2267,37.7071,1001.27
20210828.000000,1506,18.283,7.79224,42,1003.4,15.3575,15.2867,37.2376,1001.65
20210828.000000,1512,19.7839,9.39078,47,1003,17.1096,16.6458,38.7659,1001.96
20210828.000000,1518,16.5868,10.5884,41,1002.7,15.6793,14.3222,36.1842,1001.44
20210828.000000,1524,17.2858,10.2903,40,1002.5,15.6214,15.6051,38.5161,1001.39
20210828.000000,1530,17.2858,9.19032,42,1002.5,16.2192,16.0879,38.8386,1001.21
20210828.000000,1536,16.1859,9.59124,39,1002.3,16.1922,14.6385,31.857,1000.29
20210828.000000,1542,15.7849,10.6912,42,1001.9,15.5174,13.2522,36.9792,1000.33
20210828.000000,1548,15.9854,9.39078,38,1001.6,15.4836,15.1719,32.6724,1000.72
20210828.000000,1554,16.7872,10.2903,42,1001.4,16.0196,15.3058,32.9072,999.959
20210828.000000,1600,16.8849,9.29312,43,1001.1,17.3142,16.6079,35.4657,999.253
20210828.000000,1606,19.8815,9.7917,42,1000.8,17.2479,15.9755,39.1319,998.855
20210828.000000,1612,17.4863,10.2903,47,1000.6,18.9145,16.3491,35.2883,997.914
20210828.000000,1618,18.283,8.8922,47,1000.5,18.7271,17.8975,34.6224,997.776
20210828.000000,1624,16.0882,10.8917,46,1000.3,19.9206,18.0131,34.4066,996.758
